bname,btype,ra,dec,catalogue,nt,nb,z,fieldsize,countingmag,bgb,bgb_err
J151830.9+483214.5,fsrq,229.62875,48.5373611111,chen,5,4,0.576,48.1178586556,-20.4432252587,47.7834562229,133.1093063
BZQJ0752+3730,fsrq,118.17046,37.50675,bzcat,10,12,0.44,60.8842458434,-19.7362634899,-49.6297421618,-117.130397337
144434.90+633606.0,bllac,221.145446777,63.6016693115,plotkin,18,25,0.298,86.8474797222,-19.1837,-118.395867106,-118.697513116
BZQJ1101+6241,fsrq,165.47271,62.69739,bzcat,1,2,0.663,42.735399344,-20.8174980844,-64.6170890942,-135.23354883
BZQJ0529-0519,fsrq,82.47304,-5.32822,bzcat,1,2,0.685,41.5948878567,-20.904775428,-70.3802494259,-147.294949847
125234.66+293732.6,bllac,193.144424438,29.6257305145,plotkin,5,4,0.529,51.7767796746,-20.2183379152,39.7419387476,110.708230753
091147.76+334916.7,bllac,137.949005127,33.8213310242,plotkin,10,9,0.456,58.9811768338,-19.8292153946,26.5744703055,106.993187033
BZBJ1252+0849,bllac,193.14408,8.82889,bzcat,10,6,0.37,71.170252299,-19.2890860039,93.5633108155,87.9569770076
BZBJ0905+4705,candidate,136.40188,47.09622,bzcat,52,27,0.174,144.512217896,-19.1837,403.253146755,135.560249507
J170112.4+353353.3,fsrq,255.301666667,35.5648055556,chen,6,5,0.501,54.2884077204,-20.0753436102,35.6232938552,109.509041477
102013.76+625010.1,bllac,155.057373047,62.836139679,plotkin,21,13,0.25,102.356060152,-19.1837,129.181383245,88.400213732
BZQJ1215+4627,fsrq,183.79146,46.45419,bzcat,1,1,0.72,39.9270291266,-21.0382829752,0.0,0.0
BZBJ0819+4037,bllac,124.85787,40.62883,bzcat,11,17,0.389,68.0083883737,-19.4176744976,-152.948476553,-150.226412731
BZQJ0924+0309,fsrq,141.06125,3.15022,bzcat,52,63,0.128,194.43435768,-19.1837,-227.336939572,-223.996281303
BZBJ2217+2421,candidate,334.25342,24.36278,bzcat,4,3,0.505,53.9122920034,-20.0962192022,36.1841218614,89.1481598044
BZBJ1750+4700,bllac,267.52088,47.01206,bzcat,61,67,0.16,156.661461554,-19.1837,-95.3631471152,-173.548992391
BZBJ0919+1106,bllac,139.85692,11.11653,bzcat,9,7,0.425,62.8001412569,-19.6462469244,46.5438034448,86.5451956912
BZBJ0758+2705,bllac,119.69579,27.08764,bzcat,138,150,0.099,249.795585724,-19.1837,-240.184809,-326.134357186
145111.70+580003.0,bllac,222.79876709,58.0008392334,plotkin,5,11,0.405,65.5780712347,-19.5215641148,-128.1735752,-105.931839155
140923.50+593940.7,bllac,212.347915649,59.6613082886,plotkin,15,3,0.496,54.7672071375,-20.0490306706,378.626535704,130.360663532
BZBJ0232+2017,bllac,38.20192,20.28783,bzcat,73,82,0.139,179.484827011,-19.1837,-188.23649083,-254.082679964
120303.50+603119.1,bllac,180.764602661,60.5219917297,plotkin,256,290,0.065,377.681494183,-19.1837,-654.720684882,-440.843279798
J081916.5+264203.2,fsrq,124.81875,26.7008888889,chen,7,4,0.526,52.0328969723,-20.203358357,117.835347127,122.709797562
100811.42+470521.4,bllac,152.047622681,47.0892791748,plotkin,24,14,0.343,76.2719283916,-19.1837,216.205144636,125.436255099
BZBJ1610+4516,bllac,242.514,45.27828,bzcat,4,5,0.596,46.7387400257,-20.5337551411,-51.7005645357,-158.931941811
BZQJ1401-0916,fsrq,210.27221,-9.27544,bzcat,2,3,0.667,42.5223194781,-20.8335689507,-65.6264701049,-161.686362508
BZBJ0006+1051,candidate,1.5845,10.86433,bzcat,88,58,0.168,149.470514813,-19.1837,480.863651259,181.359206298
BZBJ2350-0559,candidate,357.57458,-5.99111,bzcat,9,1,0.515,52.9979391417,-20.1477439207,301.004172837,117.123601373
BZUJ1407+2827,uncertain,211.75162,28.45408,bzcat,182,229,0.077,319.641795311,-19.1837,-917.614571358,-406.735717384
