bname,ra,dec,btype,z,catalog
TeV J1224+246,12 24 24.2,+24 36 24,bllac,0.218,tevcat
TeV J2009-488,20 09 27.0,-48 49 52,bllac,0.071,tevcat
TeV J1136+701,11 36 26.4,+70 09 27,bllac,0.045,tevcat
TeV J0303-241,03 03 23.49,-24 07 35.86,bllac,0.2657,tevcat
TeV J0710+591,07 10 26.4,+59 09 00,bllac,0.125,tevcat
TeV J0650+250,06 50 46.5,+25 03 00,bllac,0.45,tevcat
TeV J1743+196,17 43 57.8,+19 35 09,bllac,0.083,tevcat
TeV J0507+676,05 07 56.2,+67 37 24,bllac,0.341,tevcat
TeV J0232+202,02 32 53.2,+20 16 21,bllac,0.14,tevcat
TeV J2359-306,23 59 09.42,-30 37 22.7,bllac,0.165,tevcat
TeV J1728+502,17 28 18.6,+50 13 10,bllac,0.055,tevcat
TeV J0416+010,04 16 52.96,+01 05 20.4,bllac,0.287,tevcat
TeV J0319+187,03 19 47,+18 45 42,bllac,0.19,tevcat
TeV J1217+301,12 17 48.5,+30 06 06,bllac,0.13,tevcat
TeV J0521+211,05 21 45,+21 12 51.4,bllac,0.108,tevcat
TeV J2202+422,22 02 43.3,+42 16 40,bllac,0.069,tevcat
TeV J0222+430,02 22 41.6,+43 02 35.5,bllac,0.41,tevcat
TeV J0721+713,07 21 53.4,+71 20 36,bllac,0.31,tevcat
TeV J1221+282,12 21 31.7,+28 13 59,bllac,0.102,tevcat
TeV J1517-243,15 17 41.8,-24 22 19,bllac,0.049,tevcat
TeV J0112+224,01 12 05.8,+22 44 39,bllac,0.265,tevcat
TeV J1230+252,12 30 14.1,+25 18 07,bllac,0.135,tevcat
TeV J1443+250,14 43 56.9,+25 01 44,fsrq,0.939,tevcat
000157.23-103117.3,00:01:57.24,-10:31:17.3,bllac,0.252,plotkin
000257.17-002447.3,00:02:57.18,-00:24:47.3,bllac,0.522,plotkin
001736.90+145101.9,00:17:36.91,+14:51:01.9,bllac,0.303,plotkin
002142.25-090044.4,00:21:42.26,-09:00:44.4,bllac,0.648,plotkin
002200.95+000657.9,00:22:00.95,+00:06:58.0,bllac,0.306,plotkin
004054.65-091526.8,00:40:54.65,-09:15:26.9,bllac,4.976,plotkin
005620.07-093629.7,00:56:20.08,-09:36:29.7,bllac,0.103,plotkin
020106.17+003400.2,02:01:06.18,+00:34:00.2,bllac,0.298,plotkin
022040.94-010410.8,02:20:40.95,-01:04:10.9,bllac,0.35,plotkin
023813.67-092431.4,02:38:13.68,-09:24:31.4,bllac,0.419,plotkin
024302.93+004627.3,02:43:02.93,+00:46:27.3,bllac,0.41,plotkin
031712.23-075850.3,03:17:12.24,-07:58:50.4,bllac,2.643,plotkin
035219.85-055044.8,03:52:19.86,-05:50:44.8,bllac,0.033,plotkin
073701.86+284646.0,07:37:01.87,+28:46:46.1,bllac,0.272,plotkin
075437.07+391047.7,07:54:37.07,+39:10:47.8,bllac,0.096,plotkin
075602.72+414039.8,07:56:02.72,+41:40:39.8,bllac,0.579,plotkin
080018.79+164557.1,08:00:18.79,+16:45:57.2,bllac,0.309,plotkin
080323.01+481618.6,08:03:23.02,+48:16:18.7,bllac,0.5,plotkin
081058.17+284618.6,08:10:58.18,+28:46:18.6,bllac,0.272,plotkin
081251.44+555421.8,08:12:51.44,+55:54:21.8,bllac,0.383,plotkin
081827.35+281402.8,08:18:27.35,+28:14:02.8,bllac,0.225,plotkin
082051.20+235345.2,08:20:51.20,+23:53:45.2,bllac,0.402,plotkin
082320.56+112551.6,08:23:20.56,+11:25:51.6,bllac,0.44,plotkin
082323.24+152447.9,08:23:23.25,+15:24:48.0,bllac,0.167,plotkin
082814.20+415351.9,08:28:14.20,+41:53:51.9,bllac,0.226,plotkin
083148.87+042939.0,08:31:48.88,+04:29:39.1,bllac,0.174,plotkin
083357.08+472652.9,08:33:57.08,+47:26:53.0,bllac,0.494,plotkin
083417.58+182501.6,08:34:17.59,+18:25:01.6,bllac,0.336,plotkin
083724.71+145819.8,08:37:24.71,+14:58:19.8,bllac,0.278,plotkin
083743.98+175920.4,08:37:43.98,+17:59:20.5,bllac,0.313,plotkin
083918.74+361856.1,08:39:18.75,+36:18:56.1,bllac,0.335,plotkin
084225.51+025252.7,08:42:25.52,+02:52:52.8,bllac,0.425,plotkin
084452.27+280409.9,08:44:52.28,+28:04:09.9,bllac,0.453,plotkin
085036.20+345522.6,08:50:36.20,+34:55:22.7,bllac,0.145,plotkin
085102.97+054905.9,08:51:02.97,+05:49:06.0,bllac,0.486,plotkin
085229.10+243354.4,08:52:29.11,+24:33:54.4,bllac,0.358,plotkin
085253.08+175718.5,08:52:53.09,+17:57:18.5,bllac,0.211,plotkin
085410.16+275421.7,08:54:10.17,+27:54:21.7,bllac,0.494,plotkin
085506.39+260142.1,08:55:06.40,+26:01:42.1,bllac,0.695,plotkin
085638.50+014000.6,08:56:38.50,+01:40:00.7,bllac,0.448,plotkin
085729.78+062725.0,08:57:29.79,+06:27:25.0,bllac,0.338,plotkin
085749.80+013530.3,08:57:49.80,+01:35:30.3,bllac,0.281,plotkin
090207.95+454433.0,09:02:07.96,+45:44:33.0,bllac,0.289,plotkin
090314.70+405559.8,09:03:14.71,+40:55:59.9,bllac,0.188,plotkin
090523.60+575912.4,09:05:23.61,+57:59:12.4,bllac,0.711,plotkin
090953.28+310603.1,09:09:53.28,+31:06:03.2,bllac,0.272,plotkin
091045.30+254812.8,09:10:45.30,+25:48:12.9,bllac,0.384,plotkin
091147.76+334916.7,09:11:47.76,+33:49:16.8,bllac,0.456,plotkin
091151.34+294929.4,09:11:51.34,+29:49:29.4,bllac,0.446,plotkin
091249.60+050317.7,09:12:49.61,+05:03:17.7,bllac,0.452,plotkin
091651.94+523828.3,09:16:51.94,+52:38:28.4,bllac,0.19,plotkin
093037.57+495025.6,09:30:37.57,+49:50:25.6,bllac,0.187,plotkin
093239.36+104235.1,09:32:39.37,+10:42:35.2,bllac,0.361,plotkin
093807.86+371751.3,09:38:07.87,+37:17:51.4,bllac,0.56,plotkin
094022.44+614826.1,09:40:22.45,+61:48:26.2,bllac,0.211,plotkin
094542.23+575747.7,09:45:42.24,+57:57:47.7,bllac,0.229,plotkin
094620.22+010452.0,09:46:20.22,+01:04:52.0,bllac,0.577,plotkin
094853.60+085514.4,09:48:53.60,+08:55:14.4,bllac,1.971,plotkin
095549.67+101429.5,09:55:49.68,+10:14:29.6,bllac,0.373,plotkin
095929.88+212321.0,09:59:29.89,+21:23:21.0,bllac,0.365,plotkin
100050.21+574609.1,10:00:50.22,+57:46:09.2,bllac,0.64,plotkin
100408.18+144909.9,10:04:08.18,+14:49:10.0,bllac,0.712,plotkin
100444.76+375212.0,10:04:44.77,+37:52:12.0,bllac,0.44,plotkin
100811.42+470521.4,10:08:11.43,+47:05:21.4,bllac,0.343,plotkin
101118.50+013755.8,10:11:18.51,+01:37:55.9,bllac,0.467,plotkin
101244.30+422957.0,10:12:44.31,+42:29:57.0,bllac,0.365,plotkin
101706.67+520247.2,10:17:06.68,+52:02:47.3,bllac,0.379,plotkin
102013.76+625010.1,10:20:13.77,+62:50:10.1,bllac,0.25,plotkin
102128.87+380643.2,10:21:28.87,+38:06:43.3,bllac,0.467,plotkin
102130.75+141137.4,10:21:30.76,+14:11:37.4,bllac,0.51,plotkin
102339.73+300057.7,10:23:39.74,+30:00:57.8,bllac,0.433,plotkin
102453.63+233234.0,10:24:53.64,+23:32:34.0,bllac,0.165,plotkin
102523.04+040228.9,10:25:23.05,+04:02:29.0,bllac,0.208,plotkin
102703.39+060933.9,10:27:03.39,+06:09:33.9,bllac,0.449,plotkin
103220.28+030949.2,10:32:20.29,+03:09:49.2,bllac,0.323,plotkin
103317.94+422236.3,10:33:17.95,+42:22:36.4,bllac,0.211,plotkin
103346.39+370825.2,10:33:46.40,+37:08:25.2,bllac,0.447,plotkin
103852.18+325651.6,10:38:52.19,+32:56:51.7,bllac,0.321,plotkin
104029.01+094754.2,10:40:29.01,+09:47:54.2,bllac,0.304,plotkin
104125.63+132458.4,10:41:25.63,+13:24:58.5,bllac,0.375,plotkin
104149.15+390119.5,10:41:49.15,+39:01:19.5,bllac,0.208,plotkin
104255.44+151314.9,10:42:55.45,+15:13:15.0,bllac,0.307,plotkin
104857.61+500945.3,10:48:57.62,+50:09:45.4,bllac,0.403,plotkin
105538.62+305251.0,10:55:38.63,+30:52:51.1,bllac,0.243,plotkin
105606.61+025213.4,10:56:06.61,+02:52:13.5,bllac,0.236,plotkin
105723.09+230318.7,10:57:23.10,+23:03:18.8,bllac,0.378,plotkin
105837.73+562811.1,10:58:37.73,+56:28:11.2,bllac,0.143,plotkin
105950.85+434315.3,10:59:50.86,+43:43:15.3,bllac,0.459,plotkin
110222.94+380122.5,11:02:22.94,+38:01:22.5,bllac,0.392,plotkin
110356.14+002236.3,11:03:56.15,+00:22:36.4,bllac,0.275,plotkin
111207.95+260803.7,11:12:07.95,+26:08:03.7,bllac,0.45,plotkin
111224.60+175121.8,11:12:24.61,+17:51:21.8,bllac,0.421,plotkin
111457.94+593532.0,11:14:57.95,+59:35:32.1,bllac,1.585,plotkin
111706.25+201407.3,11:17:06.25,+20:14:07.4,bllac,0.138,plotkin
111717.53+000633.5,11:17:17.54,+00:06:33.6,bllac,0.451,plotkin
112059.74+014456.9,11:20:59.74,+01:44:56.9,bllac,0.368,plotkin
112448.05+120213.9,11:24:48.05,+12:02:14.0,bllac,0.451,plotkin
113118.63+580858.8,11:31:18.64,+58:08:58.9,bllac,0.36,plotkin
113503.57+320015.6,11:35:03.57,+32:00:15.7,bllac,0.511,plotkin
114023.48+152809.7,11:40:23.48,+15:28:09.7,bllac,0.244,plotkin
114221.76+334201.8,11:42:21.76,+33:42:01.8,bllac,0.409,plotkin
114535.10-034001.4,11:45:35.10,-03:40:01.5,bllac,0.168,plotkin
114930.35+243927.0,11:49:30.35,+24:39:27.0,bllac,0.402,plotkin
115210.70+283721.3,11:52:10.71,+28:37:21.4,bllac,0.441,plotkin
115342.91+382305.8,11:53:42.91,+38:23:05.9,bllac,0.41,plotkin
115404.55-001009.8,11:54:04.56,-00:10:09.9,bllac,0.254,plotkin
115709.53+282200.7,11:57:09.54,+28:22:00.7,bllac,0.3,plotkin
120059.69+400913.1,12:00:59.69,+40:09:13.1,bllac,3.366,plotkin
120106.18-000701.6,12:01:06.19,-00:07:01.6,bllac,0.165,plotkin
120208.65+444422.4,12:02:08.66,+44:44:22.5,bllac,0.297,plotkin
120303.50+603119.1,12:03:03.50,+60:31:19.2,bllac,0.065,plotkin
120412.11+114555.3,12:04:12.12,+11:45:55.4,bllac,0.296,plotkin
120837.11+612106.4,12:08:37.11,+61:21:06.4,bllac,0.275,plotkin
120837.27+115937.9,12:08:37.28,+11:59:37.9,bllac,0.369,plotkin
121103.29-002005.2,12:11:03.29,-00:20:05.2,bllac,0.319,plotkin
121518.03+545913.2,12:15:18.04,+54:59:13.3,bllac,0.338,plotkin
122121.94+301037.2,12:21:21.95,+30:10:37.2,bllac,0.184,plotkin
122300.30+515313.9,12:23:00.30,+51:53:13.9,bllac,0.365,plotkin
122353.05+465048.8,12:23:53.05,+46:50:48.9,bllac,0.261,plotkin
122809.13-022136.1,12:28:09.13,-02:21:36.1,bllac,0.323,plotkin
123123.90+142124.4,12:31:23.91,+14:21:24.5,bllac,0.256,plotkin
123131.39+641418.2,12:31:31.40,+64:14:18.3,bllac,0.163,plotkin
123132.37+013813.9,12:31:32.38,+01:38:14.0,bllac,3.229,plotkin
123438.95+391046.8,12:34:38.95,+39:10:46.8,bllac,0.584,plotkin
123528.85+170036.6,12:35:28.86,+17:00:36.6,bllac,0.381,plotkin
123623.01+390000.9,12:36:23.02,+39:00:01.0,bllac,0.39,plotkin
123739.08+625842.8,12:37:39.09,+62:58:42.8,bllac,0.297,plotkin
123831.24+540651.8,12:38:31.24,+54:06:51.9,bllac,0.224,plotkin
123931.16+405446.4,12:39:31.16,+40:54:46.4,bllac,1.348,plotkin
124225.38+642918.9,12:42:25.39,+64:29:19.0,bllac,0.042,plotkin
124444.35+161621.7,12:44:44.36,+16:16:21.8,bllac,0.456,plotkin
124602.52+011318.7,12:46:02.52,+01:13:18.8,bllac,0.387,plotkin
124700.72+442318.8,12:47:00.73,+44:23:18.8,bllac,1.812,plotkin
124834.30+512807.8,12:48:34.31,+51:28:07.8,bllac,0.351,plotkin
125117.88+103907.2,12:51:17.89,+10:39:07.3,bllac,0.245,plotkin
125234.66+293732.6,12:52:34.66,+29:37:32.6,bllac,0.529,plotkin
125300.95+382625.7,12:53:00.96,+38:26:25.8,bllac,0.371,plotkin
125639.35+060908.0,12:56:39.35,+06:09:08.1,bllac,0.423,plotkin
130531.25+385521.9,13:05:31.26,+38:55:22.0,bllac,0.376,plotkin
131330.12+020105.9,13:13:30.12,+02:01:06.0,bllac,0.356,plotkin
131931.73+140533.1,13:19:31.74,+14:05:33.1,bllac,0.573,plotkin
132231.46+134429.8,13:22:31.47,+13:44:29.9,bllac,0.377,plotkin
132239.31+494336.2,13:22:39.31,+49:43:36.2,bllac,0.332,plotkin
132301.00+043951.3,13:23:01.01,+04:39:51.4,bllac,0.224,plotkin
132617.70+122958.7,13:26:17.71,+12:29:58.7,bllac,0.204,plotkin
132759.77+645811.3,13:27:59.77,+64:58:11.3,bllac,0.447,plotkin
133026.52+241521.5,13:30:26.52,+24:15:21.5,bllac,0.463,plotkin
133046.71-000543.5,13:30:46.71,-00:05:43.6,bllac,0.242,plotkin
133102.91+565541.8,13:31:02.92,+56:55:41.9,bllac,0.27,plotkin
133105.70-002221.2,13:31:05.70,-00:22:21.3,bllac,0.243,plotkin
133612.16+231958.0,13:36:12.16,+23:19:58.1,bllac,0.267,plotkin
134029.79+441003.9,13:40:29.80,+44:10:04.0,bllac,0.546,plotkin
134105.10+395945.4,13:41:05.10,+39:59:45.4,bllac,0.172,plotkin
134136.23+551437.9,13:41:36.23,+55:14:38.0,bllac,0.207,plotkin
134633.98+244058.4,13:46:33.99,+24:40:58.5,bllac,0.167,plotkin
134853.41+075647.7,13:48:53.42,+07:56:47.8,bllac,0.25,plotkin
135314.08+374113.9,13:53:14.09,+37:41:14.0,bllac,0.216,plotkin
135426.69+370654.5,13:54:26.69,+37:06:54.6,bllac,0.384,plotkin
135444.21+062248.1,13:54:44.21,+06:22:48.1,bllac,0.276,plotkin
140121.13+520928.9,14:01:21.14,+52:09:28.9,bllac,0.482,plotkin
140138.72+361121.9,14:01:38.73,+36:11:21.9,bllac,0.507,plotkin
140330.85+360651.1,14:03:30.85,+36:06:51.2,bllac,0.25,plotkin
140350.28+243304.8,14:03:50.28,+24:33:04.8,bllac,0.343,plotkin
140449.57+655431.6,14:04:49.57,+65:54:31.6,bllac,0.363,plotkin
140519.62+305351.7,14:05:19.63,+30:53:51.7,bllac,0.343,plotkin
140630.18+123620.4,14:06:30.18,+12:36:20.4,bllac,0.695,plotkin
140642.75+530833.8,14:06:42.75,+53:08:33.9,bllac,0.458,plotkin
140923.50+593940.7,14:09:23.50,+59:39:40.7,bllac,0.496,plotkin
141003.91+051557.7,14:10:03.92,+05:15:57.7,bllac,0.544,plotkin
141030.84+610012.8,14:10:30.84,+61:00:12.8,bllac,0.383,plotkin
141140.54+340424.4,14:11:40.55,+34:04:24.4,bllac,0.421,plotkin
141756.67+254326.2,14:17:56.67,+25:43:26.2,bllac,0.236,plotkin
141946.59+542314.7,14:19:46.60,+54:23:14.8,bllac,0.153,plotkin
142421.17+370552.8,14:24:21.18,+37:05:52.9,bllac,0.29,plotkin
142422.91+343356.7,14:24:22.91,+34:33:56.8,bllac,0.576,plotkin
144248.28+120040.2,14:42:48.28,+12:00:40.3,bllac,0.163,plotkin
144334.40+251558.2,14:43:34.41,+25:15:58.3,bllac,0.529,plotkin
144434.90+633606.0,14:44:34.91,+63:36:06.0,bllac,0.298,plotkin
144932.70+274621.6,14:49:32.70,+27:46:21.7,bllac,0.227,plotkin
145111.70+580003.0,14:51:11.70,+58:00:03.0,bllac,0.405,plotkin
153149.47+465913.7,15:31:49.48,+46:59:13.8,bllac,0.316,plotkin
153311.25+185429.1,15:33:11.25,+18:54:29.1,bllac,0.307,plotkin
153447.21+371554.5,15:34:47.21,+37:15:54.5,bllac,0.143,plotkin
155412.07+241426.6,15:54:12.08,+24:14:26.6,bllac,0.301,plotkin
155424.12+201125.4,15:54:24.13,+20:11:25.4,bllac,0.222,plotkin
160118.96+063136.0,16:01:18.96,+06:31:36.0,bllac,0.358,plotkin
160519.04+542059.9,16:05:19.05,+54:20:59.9,bllac,0.212,plotkin
161706.32+410647.0,16:17:06.33,+41:06:47.1,bllac,0.267,plotkin
162451.69+232515.8,16:24:51.69,+23:25:15.8,bllac,0.441,plotkin
162839.03+252755.9,16:28:39.03,+25:27:55.9,bllac,0.22,plotkin
163124.70+421702.3,16:31:24.70,+42:17:02.4,bllac,0.467,plotkin
163214.52+175849.6,16:32:14.53,+17:58:49.6,bllac,0.287,plotkin
163709.50+432600.3,16:37:09.51,+43:26:00.4,bllac,0.343,plotkin
163726.66+454749.0,16:37:26.67,+45:47:49.0,bllac,0.192,plotkin
163836.22+435403.0,16:38:36.22,+43:54:03.0,bllac,0.469,plotkin
163843.23+133409.8,16:38:43.23,+13:34:09.8,bllac,0.472,plotkin
165109.19+421253.4,16:51:09.19,+42:12:53.5,bllac,0.269,plotkin
165146.61+184709.0,16:51:46.61,+18:47:09.1,bllac,0.447,plotkin
165808.34+615001.9,16:58:08.34,+61:50:02.0,bllac,0.374,plotkin
171427.40+560156.0,17:14:27.41,+56:01:56.1,bllac,0.401,plotkin
172918.78+525559.2,17:29:18.79,+52:55:59.3,bllac,0.349,plotkin
204921.74-003926.6,20:49:21.75,-00:39:26.7,bllac,0.257,plotkin
205456.85+001537.7,20:54:56.86,+00:15:37.8,bllac,0.151,plotkin
205523.37-050619.2,20:55:23.37,-05:06:19.3,bllac,0.342,plotkin
205938.57-003756.0,20:59:38.57,-00:37:56.0,bllac,0.335,plotkin
211603.23-010828.4,21:16:03.23,-01:08:28.4,bllac,0.305,plotkin
211611.89-062830.4,21:16:11.89,-06:28:30.4,bllac,0.292,plotkin
215305.34-004230.6,21:53:05.35,-00:42:30.7,bllac,0.341,plotkin
221109.88-002327.4,22:11:09.88,-00:23:27.5,bllac,0.448,plotkin
223301.11+133602.0,22:33:01.11,+13:36:02.0,bllac,0.214,plotkin
225354.23+140436.9,22:53:54.24,+14:04:36.9,bllac,0.327,plotkin
232428.43+144324.3,23:24:28.43,+14:43:24.4,bllac,1.411,plotkin
235604.01-002353.7,23:56:04.01,-00:23:53.8,bllac,0.283,plotkin
024540.77+004747.2,02:45:40.77,+00:47:47.3,candidate,1.701,plotkin
083548.14+151717.0,08:35:48.14,+15:17:17.1,candidate,0.168,plotkin
090818.95+214820.0,09:08:18.96,+21:48:20.1,candidate,2.089,plotkin
105344.12+492955.9,10:53:44.13,+49:29:56.0,candidate,0.14,plotkin
105431.89+385521.6,10:54:31.89,+38:55:21.6,candidate,1.366,plotkin
113039.09-004023.0,11:30:39.10,-00:40:23.1,candidate,1.766,plotkin
115251.90+330718.8,11:52:51.91,+33:07:18.9,candidate,1.395,plotkin
115326.70+361726.3,11:53:26.71,+36:17:26.3,candidate,1.358,plotkin
122334.89+172843.1,12:23:34.90,+17:28:43.2,candidate,1.359,plotkin
125820.79+612045.5,12:58:20.80,+61:20:45.6,candidate,0.224,plotkin
132758.05+441326.7,13:27:58.06,+44:13:26.8,candidate,1.366,plotkin
144050.13+333350.2,14:40:50.14,+33:33:50.2,candidate,1.774,plotkin
161541.21+471111.7,16:15:41.22,+47:11:11.8,candidate,0.199,plotkin
161608.48+224107.4,16:16:08.49,+22:41:07.5,candidate,0.33,plotkin
164419.97+454644.3,16:44:19.97,+45:46:44.4,candidate,0.225,plotkin
J001130.4+005752.1,00 11 30.4,+00 57 52.1,fsrq,1.492,chen
J013352.7+011343.6,01 33 52.7,+01 13 43.6,fsrq,0.308,chen
J074541.7+314256.6,07 45 41.7,+31 42 56.6,fsrq,0.461,chen
J074625.9+254902.2,07 46 25.9,+25 49 02.2,fsrq,2.979,chen
J081009.9+384756.9,08 10 09.9,+38 47 56.9,fsrq,3.946,chen
J081303.8+254211.1,08 13 03.8,+25 42 11.1,fsrq,2.024,chen
J082455.5+391641.8,08 24 55.5,+39 16 41.8,fsrq,1.216,chen
J083636.9+412554.9,08 36 36.9,+41 25 54.9,fsrq,1.301,chen
J085220.5+473458.4,08 52 20.5,+47 34 58.4,fsrq,2.42,chen
J085442.0+575730.1,08 54 42.0,+57 57 30.1,fsrq,1.317,chen
J090304.0+465104.5,09 03 04.0,+46 51 04.5,fsrq,1.47,chen
J090910.1+012136.0,09 09 10.1,+01 21 36.0,fsrq,1.024,chen
J092058.5+444153.9,09 20 58.5,+44 41 53.9,fsrq,2.19,chen
J092656.7+041613.0,09 26 56.7,+04 16 13.0,fsrq,1.036,chen
J093035.1+464408.6,09 30 35.1,+46 44 08.6,fsrq,2.033,chen
J093200.1+553347.0,09 32 00.1,+55 33 47.0,fsrq,0.266,chen
J093256.8+074211.9,09 32 56.8,+07 42 11.9,fsrq,1.004,chen
J093309.3+461534.6,09 33 09.3,+46 15 34.6,fsrq,0.778,chen
J094855.4+403944.7,09 48 55.4,+40 39 44.7,fsrq,1.249,chen
J094857.3+002225.6,09 48 57.3,+00 22 25.6,fsrq,0.585,chen
J095556.4+061642.5,09 55 56.4,+06 16 42.5,fsrq,1.278,chen
J095738.2+552257.9,09 57 38.2,+55 22 57.9,fsrq,0.895,chen
J095819.7+472507.7,09 58 19.7,+47 25 07.7,fsrq,1.882,chen
J095855.1+423703.8,09 58 55.1,+42 37 03.8,fsrq,0.664,chen
J100556.0+433238.5,10 05 56.0,+43 32 38.5,fsrq,1.587,chen
J101027.5+413238.9,10 10 27.5,+41 32 38.9,fsrq,0.612,chen
J101122.6+470042.2,10 11 22.6,+47 00 42.2,fsrq,2.928,chen
J101557.1+010913.7,10 15 57.1,+01 09 13.7,fsrq,0.78,chen
J101725.9+611627.5,10 17 25.9,+61 16 27.5,fsrq,2.805,chen
J102235.6+454105.4,10 22 35.6,+45 41 05.4,fsrq,0.743,chen
J102429.0+052952.4,10 24 29.0,+05 29 52.4,fsrq,1.482,chen
J102713.1+480313.5,10 27 13.1,+48 03 13.5,fsrq,1.286,chen
J103025.0+551622.3,10 30 25.0,+55 16 22.3,fsrq,0.434,chen
J103050.9+531028.5,10 30 50.9,+53 10 28.5,fsrq,1.197,chen
J103144.7+602030.7,10 31 44.7,+60 20 30.7,fsrq,1.23,chen
J103351.4+605107.5,10 33 51.4,+60 51 07.5,fsrq,1.401,chen
J104146.8+523328.4,10 41 46.8,+52 33 28.4,fsrq,0.678,chen
J104410.6+532220.6,10 44 10.6,+53 22 20.6,fsrq,1.901,chen
J104542.2+525112.6,10 45 42.2,+52 51 12.6,fsrq,1.058,chen
J104552.7+062436.3,10 45 52.7,+06 24 36.3,fsrq,1.509,chen
J104732.3+483531.3,10 47 32.3,+48 35 31.3,fsrq,0.866,chen
J105654.2+051713.2,10 56 54.2,+05 17 13.2,fsrq,0.456,chen
J111914.3+600457.2,11 19 14.3,+60 04 57.2,fsrq,2.646,chen
J112115.7+575446.8,11 21 15.7,+57 54 46.8,fsrq,1.274,chen
J113245.6+003427.7,11 32 45.6,+00 34 27.7,fsrq,1.223,chen
J114521.3+045526.7,11 45 21.3,+04 55 26.7,fsrq,1.343,chen
J120127.4+090040.4,12 01 27.4,+09 00 40.4,fsrq,1.016,chen
J121201.6+605034.6,12 12 01.6,+60 50 34.6,fsrq,1.146,chen
J121347.5+000130.1,12 13 47.5,+00 01 30.1,fsrq,0.962,chen
J122106.9+454852.2,12 21 06.9,+45 48 52.2,fsrq,0.525,chen
J122339.3+461118.7,12 23 39.3,+46 11 18.7,fsrq,1.013,chen
J122452.4+033050.3,12 24 52.4,+03 30 50.3,fsrq,0.956,chen
J123530.6+522828.0,12 35 30.6,+52 28 28.0,fsrq,1.651,chen
J123932.8+044305.4,12 39 32.8,+04 43 05.4,fsrq,1.762,chen
J125500.5+034043.2,12 55 00.5,+03 40 43.2,fsrq,0.437,chen
J125545.1+612450.8,12 55 45.1,+61 24 50.8,fsrq,2.056,chen
J130217.2+481917.5,13 02 17.2,+48 19 17.5,fsrq,0.874,chen
J130603.4+552943.7,13 06 03.4,+55 29 43.7,fsrq,1.601,chen
J130909.8+555738.5,13 09 09.8,+55 57 38.5,fsrq,1.629,chen
J133245.3+472222.6,13 32 45.3,+47 22 22.6,fsrq,0.669,chen
J133437.4+563147.9,13 34 37.4,+56 31 47.9,fsrq,0.343,chen
J133749.6+550102.3,13 37 49.6,+55 01 02.3,fsrq,1.099,chen
J133802.8+423957.2,13 38 02.8,+42 39 57.2,fsrq,2.237,chen
J134357.6+575442.6,13 43 57.6,+57 54 42.6,fsrq,0.933,chen
J134934.7+534116.8,13 49 34.7,+53 41 16.8,fsrq,0.979,chen
J135054.6+052206.6,13 50 54.6,+05 22 06.6,fsrq,0.442,chen
J135351.6+015153.3,13 53 51.6,+01 51 53.3,fsrq,1.608,chen
J135726.4+001543.8,13 57 26.4,+00 15 43.8,fsrq,0.662,chen
J135817.6+575204.4,13 58 17.6,+57 52 04.4,fsrq,1.373,chen
J140126.2+520834.6,14 01 26.2,+52 08 34.6,fsrq,2.972,chen
J141159.7+423950.4,14 11 59.7,+42 39 50.4,fsrq,0.886,chen
J141324.2+530525.7,14 13 24.2,+53 05 25.7,fsrq,0.456,chen
J141708.2+460705.6,14 17 08.2,+46 07 05.6,fsrq,1.559,chen
J142020.7+462441.0,14 20 20.7,+46 24 41.0,fsrq,1.245,chen
J145247.4+473529.1,14 52 47.4,+47 35 29.1,fsrq,1.158,chen
