bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
162856.27+140028.7,247.23448,14.00799,H,N,19.41,19.61,19.62,19.47,19.15,,U,,0.58,,0.622,19.08,29.907,U,1.01,31.098,U,11.32,27.344,0.235,0.984,bllac,plotkin
163124.70+421702.3,247.85294,42.284,H,Y,19.69,19.46,19.13,18.86,18.62,0.467,R,0.131,0.48,"C05;A07;P08    ",,18.61,29.817,F,6.05,31.628,R,57.95,27.739,0.356,0.798,bllac,plotkin
163214.52+175849.6,248.06053,17.98045,H,N,19.32,18.71,18.06,17.69,17.34,0.287,R,0.213,1.18,,,17.91,29.717,F,18.95,31.697,U,4.553,26.121,0.39,1.381,bllac,plotkin
163709.50+432600.3,249.28961,43.43344,H,Y,19.27,18.84,18.35,18.02,17.78,0.343,R,0.206,0.98,"C05;A07;P08    ",,18.32,29.731,F,51.24,32.288,R,1.971,25.945,0.503,1.454,bllac,plotkin
163716.73+131438.8,249.31973,13.24411,H,N,19.67,19.26,18.94,18.67,18.52,,U,,0.89,"A07;P08        ",0.585,18.44,30.085,F,16.04,32.247,R,10.21,27.232,0.426,1.095,bllac,plotkin
163726.66+454749.0,249.36111,45.79695,H,Y,19.85,19.06,18.26,17.86,17.58,0.192,R,0.354,1.29,"C05;A07;P08    ",,17.83,29.24,F,16.23,31.277,R,11.21,26.11,0.401,1.202,bllac,plotkin
163739.15+221039.9,249.41315,22.17776,H,N,23.59,23.33,21.67,21.22,19.97,0.689,T,0.226,1.99,,,19.89,29.651,U,0.91,31.14,R,37.74,27.982,0.293,0.641,bllac,plotkin
163836.22+435403.0,249.65092,43.90084,H,N,23.69,21.97,20.35,19.48,19.01,0.469,R,0.292,-0.31,,,18.99,29.735,F,4.09,31.463,U,0.828,25.901,0.34,1.472,bllac,plotkin
163843.23+133409.8,249.68015,13.5694,H,N,24.99,22.08,20.47,19.54,19.09,0.472,R,0.332,2.1,,,19.0,29.536,N,3.001,31.333,U,3.442,26.524,0.354,1.156,bllac,plotkin
164128.55+211759.6,250.36897,21.2999,H,N,19.97,19.96,20.13,20.25,20.48,0.673,T,-0.021,0.28,,,20.4,29.465,U,0.995,31.159,U,3.309,26.898,0.333,0.986,bllac,plotkin
164220.31+221143.4,250.58466,22.1954,H,N,19.27,19.02,18.71,18.4,18.17,0.592,T,0.152,0.66,"A07;P08        ",,18.09,30.247,F,13.31,32.175,R,32.26,27.744,0.38,0.961,bllac,plotkin
164301.06+322104.0,250.75444,32.35113,H,N,19.47,18.96,18.51,18.14,17.82,1.028,L,0.142,1.73,"P08            ",,18.43,31.008,F,22.21,32.859,U,2.161,27.191,0.364,1.466,bllac,plotkin
164729.70+252154.4,251.87378,25.36512,H,N,22.04,20.47,19.58,19.56,19.01,,U,,2.74,,0.633,18.93,29.898,U,0.99,31.105,U,2.423,26.694,0.238,1.23,bllac,plotkin
165109.19+421253.4,252.7883,42.21486,H,Y,20.56,20.11,19.36,19.0,18.66,0.269,R,0.202,0.95,"C05;P08        ",,19.29,29.096,F,17.2,31.598,U,1.579,25.595,0.493,1.344,bllac,plotkin
165146.61+184709.0,252.94421,18.78585,H,N,21.51,20.83,20.09,19.56,19.15,0.447,R,0.234,1.47,"P08            ",,19.04,29.511,F,1.68,31.034,U,3.203,26.436,0.3,1.181,bllac,plotkin
165248.44+363212.6,253.20184,36.53684,H,N,20.29,19.72,19.22,18.83,18.55,,U,,1.79,"C05;P08        ",0.617,18.53,30.064,F,53.47,32.815,U,1.706,26.513,0.542,1.363,bllac,plotkin
165249.92+402310.1,253.20802,40.38616,H,Y,19.0,18.64,18.37,18.15,18.07,0.387,L,0.086,0.94,"C05;A07;P08    ",,18.31,29.854,F,17.66,31.93,R,4.487,26.428,0.409,1.315,bllac,plotkin
165542.81+324420.0,253.92839,32.73891,H,N,19.62,19.11,18.68,18.34,18.06,,U,,1.97,"P08            ",0.611,18.02,30.25,F,31.63,32.579,U,1.582,26.47,0.459,1.451,bllac,plotkin
165552.23+372321.9,253.96764,37.38942,H,N,21.72,21.35,20.3,19.85,19.64,,U,,2.47,,0.7,19.62,29.767,F,76.04,33.075,U,1.532,26.607,0.651,1.213,bllac,plotkin
165808.34+615001.9,254.53474,61.83389,H,Y,19.79,19.2,18.48,18.02,17.75,0.374,R,0.306,1.57,"C05            ",,18.35,29.837,N,37.935,32.233,U,0.591,25.512,0.472,1.66,bllac,plotkin
165851.61+341908.8,254.71506,34.31913,H,N,21.36,20.3,19.81,19.61,19.38,,U,,1.3,,0.7,19.35,29.898,U,0.935,31.165,R,22.29,27.77,0.249,0.817,bllac,plotkin
170108.89+395443.0,255.28706,39.91197,H,N,19.44,19.29,19.21,19.04,18.95,1.889,T,,0.45,"C05;P08        ",,19.15,31.019,F,3.75,32.55,U,1.359,27.687,0.301,1.279,bllac,plotkin
170124.63+395437.1,255.35266,39.91031,H,Y,17.86,17.32,16.88,16.48,16.2,,U,,1.65,"C05;P08        ",0.233,16.43,29.96,F,254.93,32.643,U,1.367,25.388,0.528,1.756,bllac,plotkin
170238.53+311543.5,255.66058,31.2621,H,Y,19.44,19.15,18.93,18.7,18.46,,U,,0.41,"C05;A07;P08    ",0.475,18.41,29.919,F,5.81,31.626,R,7.837,26.889,0.336,1.163,bllac,plotkin
171248.77+293116.8,258.20322,29.52136,H,Y,18.68,18.29,17.97,17.82,17.62,0.42,L,0.079,0.8,"C05;A07;P08    ",,17.54,30.109,F,13.39,31.881,R,7.831,26.757,0.349,1.287,bllac,plotkin
171427.40+560156.0,258.6142,56.03224,H,Y,21.27,20.73,19.7,19.22,18.89,0.401,R,0.316,0.77,"C05;A07;P08    ",,18.85,29.542,F,6.59,31.534,R,5.969,26.591,0.392,1.133,bllac,plotkin
171445.54+303628.0,258.68976,30.60778,H,Y,19.45,19.25,19.11,19.04,19.0,0.857,T,0.0010,-0.27,"C05;A07;P08    ",,18.93,30.27,F,1.55,31.554,R,5.173,27.363,0.253,1.116,bllac,plotkin
171501.35+292912.3,258.75565,29.48677,H,N,19.67,19.56,19.49,19.39,19.34,1.529,T,,0.23,"C05;P08        ",,19.34,30.677,F,27.24,33.256,U,2.169,27.647,0.508,1.164,bllac,plotkin
171902.34+552434.5,259.75977,55.4096,H,Y,22.3,21.77,20.99,20.16,19.77,0.627,T,0.322,1.04,"C05;A07;P08    ",,19.72,29.637,F,1.76,31.346,R,4.762,26.977,0.336,1.022,bllac,plotkin
172918.78+525559.2,262.32828,52.93313,H,Y,19.61,19.19,18.55,18.17,17.81,0.349,R,0.236,0.79,"C05;A07;P08    ",,18.45,29.689,F,20.7,31.908,R,13.35,26.793,0.437,1.112,bllac,plotkin
173719.14+570216.5,264.32977,57.03793,H,N,20.77,20.32,19.89,19.59,19.33,,U,,1.48,"C05;P08        ",0.645,19.26,29.838,F,12.94,32.237,U,0.741,26.2,0.472,1.397,bllac,plotkin
204921.74-003926.6,312.3406,-0.65741,H,Y,20.56,19.82,19.11,18.71,18.3,0.257,R,0.292,1.59,"A07            ",,18.54,29.226,N,5.421,31.057,R,50.06,27.05,0.361,0.835,bllac,plotkin
205133.22-002130.2,312.88843,-0.35839,H,N,21.55,20.77,20.22,20.08,19.82,,U,,1.43,,0.7,19.63,29.784,X,,,U,4.709,27.095,,1.033,bllac,plotkin
205456.85+001537.7,313.7369,0.26049,H,Y,19.48,18.75,18.04,17.69,17.35,0.151,R,0.291,1.75,"C05;A07        ",,17.52,29.073,N,56.471,31.605,R,33.44,26.347,0.498,1.047,bllac,plotkin
205523.37-050619.2,313.84738,-5.10535,H,N,20.34,19.78,19.0,18.53,18.18,0.342,R,0.288,1.55,"C05            ",,18.78,29.564,N,18.799,31.849,U,3.717,26.217,0.45,1.285,bllac,plotkin
205528.23-002117.1,313.8676,-0.35477,H,Y,18.51,18.2,17.96,17.78,17.62,,U,,0.96,"C05;A07        ",0.312,17.7,29.883,N,40.511,32.101,R,122.3,27.638,0.437,0.862,bllac,plotkin
205938.57-003756.0,314.9107,-0.63222,H,N,20.5,19.94,19.29,18.89,18.57,0.335,R,0.291,0.68,"C05;A07        ",,19.09,29.39,N,14.691,31.724,R,16.86,26.852,0.46,0.975,bllac,plotkin
210436.56-072146.8,316.15234,-7.363,H,N,21.86,20.64,20.24,20.0,20.0,,U,,1.86,,0.7,19.86,29.684,U,1.0,31.194,U,3.97,27.021,0.297,1.023,bllac,plotkin
211552.88+000115.4,318.97034,0.02097,H,Y,20.65,19.97,19.47,19.25,18.97,,U,,1.5,"C05            ",0.59,18.85,29.897,X,,,U,4.144,26.849,,1.17,bllac,plotkin
211603.23-010828.4,319.01346,-1.14123,H,Y,18.93,18.43,17.99,17.71,17.45,0.305,R,0.153,1.32,"C05            ",,17.83,29.818,N,66.134,32.295,U,3.919,26.121,0.488,1.419,bllac,plotkin
211611.89-062830.4,319.04956,-6.47512,H,Y,20.1,19.57,18.85,18.43,18.02,0.292,R,0.249,1.76,"C05;P08        ",,18.5,29.512,F,14.87,31.606,U,4.483,26.132,0.412,1.298,bllac,plotkin
214406.27-002858.1,326.02615,-0.48283,H,N,20.06,19.61,19.21,18.91,18.68,,U,,1.32,"P08            ",0.685,18.6,30.173,F,33.34,32.699,U,4.561,27.057,0.497,1.196,bllac,plotkin
214807.07-073346.9,327.0295,-7.56304,H,N,19.0,18.65,18.37,18.1,17.9,,U,,1.11,"P08            ",0.397,17.83,29.904,F,11.7,31.773,U,4.291,26.436,0.368,1.332,bllac,plotkin
215051.72+111916.5,327.7155,11.32125,H,N,19.81,19.39,19.05,18.71,18.47,,U,,1.62,"C05            ",0.484,18.35,29.866,N,9.579,31.859,U,5.435,26.751,0.392,1.196,bllac,plotkin
215305.34-004230.6,328.27228,-0.70852,H,Y,19.1,18.71,18.26,17.97,17.83,0.341,R,0.131,1.15,"C05;A07;P08    ",,17.94,29.885,F,19.9,31.871,R,75.63,27.522,0.391,0.907,bllac,plotkin
215650.32-085535.3,329.2097,-8.9265,H,Y,19.74,19.15,18.77,18.42,18.23,1.023,L,0.083,1.39,"C05;P08        ",,18.68,30.829,F,21.49,32.84,U,4.571,27.51,0.396,1.274,bllac,plotkin
221108.34-000302.5,332.78476,-0.0507,H,Y,19.63,19.23,18.8,18.53,18.22,0.362,T,0.153,0.83,"C05;A07;P08    ",,18.63,29.654,F,16.89,31.852,R,31.92,27.21,0.433,0.938,bllac,plotkin
221109.88-002327.4,332.79117,-0.39096,H,N,21.16,20.38,19.64,19.09,18.7,0.448,R,0.336,0.76,"C05;P08        ",,18.57,29.768,F,38.84,32.399,U,5.832,26.697,0.518,1.179,bllac,plotkin
221456.37+002000.0,333.7349,0.33336,H,N,20.1,19.64,19.29,18.96,18.68,0.586,T,0.16,1.14,"C05;P08        ",,18.59,30.013,F,46.43,32.709,U,5.457,26.961,0.531,1.172,bllac,plotkin
223301.11+133602.0,338.25464,13.60056,H,Y,19.67,19.19,18.6,18.28,18.02,0.214,R,0.234,1.26,"A07            ",,18.17,29.213,N,24.659,31.552,R,34.63,26.705,0.461,0.963,bllac,plotkin
224046.89+132602.6,340.1954,13.43408,H,N,19.48,19.19,18.93,18.67,18.43,,U,,1.04,"A07            ",0.467,18.36,29.871,N,13.606,31.981,R,27.41,27.415,0.415,0.943,bllac,plotkin
224448.09-000619.3,341.20038,-0.10537,H,N,19.78,19.44,19.11,18.85,18.66,,U,,1.1,"C05;P08        ",0.56,18.56,29.978,F,5.43,31.739,U,6.593,26.994,0.347,1.146,bllac,plotkin
224730.19+000006.4,341.87582,0.0018,H,Y,19.59,18.84,18.29,17.85,17.48,,U,,1.97,"C05;P08        ",0.473,17.33,30.215,F,190.56,33.138,U,7.152,26.845,0.575,1.294,bllac,plotkin
224949.87+130844.6,342.45782,13.14574,H,Y,19.81,19.42,19.1,18.76,18.51,,U,,1.47,"C05            ",0.526,18.42,29.941,N,12.725,32.055,U,3.803,26.686,0.416,1.25,bllac,plotkin
225232.18+124510.9,343.13412,12.75303,H,Y,19.85,19.3,18.82,18.4,18.09,0.497,T,0.164,1.37,"C05            ",,17.97,30.063,N,44.482,32.548,U,4.172,26.664,0.489,1.305,bllac,plotkin
225354.23+140436.9,343.476,14.07693,H,Y,19.49,19.0,18.5,18.13,17.81,0.327,R,0.215,0.91,"C05;A07        ",,18.35,29.669,N,11.525,31.596,R,5.624,26.348,0.379,1.275,bllac,plotkin
225624.27+130541.6,344.10114,13.09491,H,Y,19.56,19.03,18.57,18.27,17.97,,U,,1.3,"C05            ",0.452,17.9,29.995,N,44.153,32.463,U,4.202,26.565,0.486,1.317,bllac,plotkin
232428.43+144324.3,351.11847,14.72344,H,Y,19.44,19.06,18.78,18.67,18.78,1.411,R,,0.59,"C05            ",,18.65,30.985,X,,,U,28.7,28.676,,0.887,bllac,plotkin
233453.83+143214.7,353.72433,14.53744,H,Y,19.51,18.85,18.21,17.85,17.53,,U,,1.68,"C05            ",0.41,17.35,30.072,N,63.345,32.535,U,4.124,26.453,0.485,1.39,bllac,plotkin
235604.01-002353.7,359.01672,-0.39827,H,Y,19.65,19.21,18.7,18.39,18.13,0.283,R,0.239,1.25,"C05;A07;P08    ",,18.61,29.424,F,5.18,31.122,R,5.532,26.192,0.334,1.241,bllac,plotkin
024540.77+004747.2,41.41988,0.79646,L,N,20.43,20.23,20.05,19.97,19.78,1.701,R,,0.33,,,19.95,30.558,U,0.925,31.866,U,6.257,28.23,0.257,0.894,candidate,plotkin
083548.14+151717.0,128.95059,15.28808,L,N,19.26,18.54,17.74,17.47,17.18,0.168,R,0.192,1.32,,,17.41,29.275,F,48.66,31.638,U,20.14,26.235,0.465,1.168,candidate,plotkin
090818.95+214820.0,137.07898,21.80558,L,N,19.51,19.24,19.06,18.94,18.84,2.089,R,,0.44,,,18.96,31.181,F,4.73,32.722,U,6.018,28.448,0.303,1.05,candidate,plotkin
092814.02+545848.3,142.05844,54.98009,L,N,20.53,20.42,20.4,20.24,19.82,0.775,T,0.056,-0.25,,,19.79,29.842,U,1.005,31.282,U,2.157,26.87,0.284,1.141,candidate,plotkin
104309.04+240835.4,160.78767,24.14318,L,N,18.29,17.7,17.19,16.84,16.53,0.559,T,0.147,1.95,,,16.48,30.758,F,369.54,33.57,R,12.52,27.271,0.554,1.339,candidate,plotkin
105344.12+492955.9,163.43387,49.49889,L,N,18.91,18.16,17.4,17.06,16.67,0.14,R,0.268,1.58,"A07;P08        ",,17.01,29.225,F,56.16,31.54,R,13.02,25.869,0.456,1.289,candidate,plotkin
105431.89+385521.6,163.63287,38.92268,L,N,17.33,17.22,17.17,17.2,17.28,1.366,R,,-0.05,"P08            ",,17.12,31.384,F,73.07,33.599,R,12.21,28.268,0.436,1.196,candidate,plotkin
113039.09-004023.0,172.6629,-0.67307,L,N,19.21,19.11,19.16,19.06,19.17,1.766,R,,0.15,,,19.09,30.874,F,3.14,32.424,U,3.013,27.955,0.305,1.121,candidate,plotkin
115251.90+330718.8,178.21628,33.12191,L,N,16.37,16.15,16.05,16.09,16.14,1.395,R,,0.26,"P08            ",,15.99,31.944,F,190.29,34.031,R,5.025,27.906,0.411,1.55,candidate,plotkin
115326.70+361726.3,178.36128,36.29064,L,N,17.47,17.31,17.19,17.14,17.21,1.358,R,,0.15,"P08            ",,17.13,31.432,F,63.2,33.532,R,13.89,28.317,0.413,1.196,candidate,plotkin
120543.30+582933.7,181.43044,58.4927,L,N,20.51,20.13,19.83,19.48,19.25,1.083,T,0.07,1.17,,,19.78,30.406,F,7.69,32.44,R,5.376,27.646,0.401,1.059,candidate,plotkin
121037.35+525341.9,182.65562,52.89498,L,N,19.06,18.83,18.74,18.81,18.72,0.918,T,0.031,0.25,,,18.68,30.481,F,5.08,32.126,U,2.266,27.082,0.324,1.305,candidate,plotkin
122334.89+172843.1,185.89542,17.47866,L,N,18.46,18.28,18.17,18.14,18.15,1.359,R,,0.07,,,18.09,31.025,F,11.54,32.794,U,3.116,27.669,0.348,1.289,candidate,plotkin
125820.79+612045.5,194.58665,61.346,L,N,19.82,19.26,18.73,18.39,18.08,0.224,R,0.2,1.36,"C05            ",,18.35,29.174,F,9.09,31.159,U,1.623,25.421,0.391,1.441,candidate,plotkin
132758.05+441326.7,201.9919,44.22411,L,N,17.81,17.72,17.55,17.45,17.44,1.366,R,,0.55,,,17.5,31.402,F,9.08,32.693,U,1.373,27.319,0.254,1.568,candidate,plotkin
142724.88-001450.9,216.85368,-0.24749,L,N,22.86,21.02,19.82,19.4,19.11,0.164,T,0.225,1.42,,,19.31,28.476,U,1.01,29.931,R,6.377,25.708,0.286,1.063,candidate,plotkin
144050.13+333350.2,220.20891,33.56395,L,N,18.6,18.4,18.37,18.26,18.33,1.774,R,,0.28,"P08            ",,18.34,31.226,F,5.44,32.666,U,1.468,27.648,0.284,1.374,candidate,plotkin
144204.04+132916.0,220.51685,13.48779,L,N,18.8,18.54,18.27,18.07,17.91,0.992,T,-0.074,0.86,,,18.23,30.862,F,641.78,34.29,U,2.147,27.147,0.675,1.427,candidate,plotkin
150410.48+300703.0,226.0437,30.1175,L,N,19.72,19.5,19.11,19.07,18.88,0.947,T,0.041,0.46,,,19.07,30.398,U,0.94,31.419,U,1.687,26.99,0.201,1.309,candidate,plotkin
161353.49+220159.4,243.47292,22.03319,L,N,19.82,19.28,19.15,19.05,18.91,0.875,T,0.034,0.56,"P08            ",,18.94,30.393,F,1.73,31.619,U,2.807,27.122,0.241,1.256,candidate,plotkin
161541.21+471111.7,243.92174,47.18661,L,N,18.85,18.3,17.7,17.33,17.06,0.199,R,0.255,1.33,"C05;P08        ",,17.31,29.477,F,98.08,32.088,U,2.143,25.424,0.514,1.556,candidate,plotkin
161608.48+224107.4,244.03537,22.68541,L,N,19.8,19.27,18.66,18.27,17.95,0.33,R,0.232,1.47,,,18.34,29.698,N,14.541,31.706,U,2.772,26.051,0.395,1.4,candidate,plotkin
164419.97+454644.3,251.0832,45.779,L,N,19.48,18.9,18.14,17.79,17.45,0.225,R,0.287,0.85,"C05;A07;P08    ",,17.76,29.459,F,115.06,32.266,R,26.11,26.632,0.553,1.085,candidate,plotkin
165412.84+354334.9,253.55351,35.72636,L,N,20.31,20.17,20.08,19.95,19.69,0.754,T,0.014,0.09,,,19.67,29.866,U,0.935,31.228,U,1.561,26.698,0.268,1.216,candidate,plotkin
