bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
123826.01+443137.1,189.60841,44.52698,H,N,21.1,20.7,20.01,19.63,19.24,0.312,T,0.232,0.74,"A07;P08        ",,19.94,28.983,F,9.85,31.488,R,2.772,25.993,0.493,1.148,bllac,plotkin
123831.24+540651.8,189.63017,54.11441,H,N,19.97,19.19,18.33,17.96,17.61,0.224,R,0.293,0.92,"P08            ",,17.92,29.387,F,31.45,31.698,U,1.783,25.462,0.455,1.507,bllac,plotkin
123931.16+405446.4,189.87985,40.91289,H,N,20.12,19.67,19.41,19.35,19.31,1.348,R,,0.56,,,19.36,30.649,U,0.985,31.719,U,1.707,27.398,0.211,1.248,bllac,plotkin
124030.93+344527.5,190.12889,34.75764,H,N,19.92,19.35,19.1,19.0,18.95,1.642,T,,0.69,,,19.05,31.007,N,20.784,33.192,U,1.472,27.56,0.43,1.323,bllac,plotkin
124109.43+340038.1,190.2893,34.0106,H,N,19.99,19.74,19.43,19.13,18.85,,U,,1.35,"P08            ",0.613,18.82,29.959,F,5.67,31.835,U,1.493,26.448,0.369,1.348,bllac,plotkin
124141.38+344031.0,190.42242,34.67528,H,Y,20.09,19.86,19.55,19.33,19.09,,U,,0.97,"A07;P08        ",0.556,19.07,29.776,F,7.55,31.876,R,21.96,27.508,0.413,0.871,bllac,plotkin
124225.38+642918.9,190.60579,64.4886,H,Y,18.67,17.72,17.11,16.8,16.54,0.042,R,0.175,-0.03,"C05            ",,17.65,28.095,X,,,U,2.186,23.985,,1.578,bllac,plotkin
124312.73+362743.9,190.80309,36.46222,H,Y,16.41,16.13,15.93,15.75,15.64,0.485,L,0.062,0.8,,,15.63,31.022,F,140.99,33.029,R,165.5,28.237,0.395,1.07,bllac,plotkin
124425.29+044459.6,191.1054,4.74992,H,N,20.6,20.13,19.44,18.98,18.65,,U,,2.34,"C05;P08        ",0.554,18.61,29.871,F,7.68,31.88,U,6.938,27.004,0.396,1.101,bllac,plotkin
124444.35+161621.7,191.18483,16.27272,H,N,20.44,19.9,19.35,18.86,18.57,0.456,R,0.294,1.04,,,18.53,29.778,F,9.62,31.81,U,5.923,26.724,0.4,1.173,bllac,plotkin
124510.00+570954.3,191.29169,57.1651,H,Y,18.26,17.84,17.46,17.16,16.87,,U,,1.3,"A07;P08        ",0.227,17.13,29.682,F,110.86,32.258,R,4.637,25.892,0.507,1.455,bllac,plotkin
124533.79+022825.1,191.39082,2.47366,H,N,20.14,19.57,19.09,18.79,18.46,1.095,L,0.102,1.55,"C05;P08        ",,19.02,30.809,F,32.77,33.078,U,5.239,27.647,0.447,1.214,bllac,plotkin
124602.52+011318.7,191.51051,1.22189,H,N,17.92,17.39,16.96,16.66,16.36,0.387,R,0.213,1.6,"C05;P08        ",,16.91,30.45,F,79.43,32.582,U,5.041,26.478,0.42,1.525,bllac,plotkin
124700.72+442318.8,191.75302,44.38856,H,Y,19.13,18.93,18.56,18.41,18.15,1.812,R,,1.01,"A07;P08        ",,18.5,31.439,F,9.61,32.928,R,31.54,29.004,0.293,0.935,bllac,plotkin
124818.78+582028.9,192.0783,58.34138,H,Y,15.96,15.59,15.32,15.1,14.95,,U,,0.91,"A07;P08        ",0.058,15.54,29.261,F,208.45,31.333,R,58.14,25.693,0.408,1.37,bllac,plotkin
124834.30+512807.8,192.14294,51.46884,H,N,18.72,18.24,17.76,17.42,17.15,0.351,R,0.188,1.29,"C05;A07;P08    ",,17.73,30.004,F,92.59,32.564,R,5.026,26.374,0.504,1.394,bllac,plotkin
124946.74+370747.7,192.4448,37.12994,H,N,19.37,19.06,18.82,18.65,18.54,,U,,0.7,,0.455,18.51,29.81,F,5.75,31.584,R,4.15,26.567,0.349,1.245,bllac,plotkin
125015.53+315559.5,192.56471,31.93322,H,Y,19.46,19.08,18.9,18.71,18.49,,U,,0.81,,0.466,18.46,29.846,F,4.63,31.511,R,18.38,27.239,0.328,1.001,bllac,plotkin
125032.58+021632.1,192.63576,2.2756,H,N,20.17,19.63,19.21,18.92,18.62,,U,,1.47,"C05;P08        ",0.544,18.57,29.917,F,468.49,33.65,U,11.15,27.19,0.735,1.047,bllac,plotkin
125117.88+103907.2,192.82452,10.65202,H,N,19.58,19.12,18.59,18.29,17.99,0.245,R,0.123,0.98,,,18.25,29.341,F,4.21,30.906,R,14.26,26.458,0.308,1.107,bllac,plotkin
125234.58+084944.0,193.1441,8.82891,H,N,19.9,19.44,19.05,18.77,18.49,0.424,L,0.056,1.17,,,18.45,29.718,F,45.64,32.422,U,6.936,26.714,0.532,1.153,bllac,plotkin
125234.66+293732.6,193.14442,29.62573,H,N,19.91,19.46,19.11,18.72,18.54,0.529,R,0.175,1.31,,,18.52,29.919,F,8.89,31.903,U,1.508,26.29,0.391,1.393,bllac,plotkin
125300.95+382625.7,193.25398,38.44049,H,Y,20.19,19.75,19.16,18.8,18.55,0.371,R,0.28,0.56,,,19.11,29.476,F,5.81,31.41,R,54.57,27.468,0.381,0.771,bllac,plotkin
125311.91+530111.6,193.29967,53.01991,H,Y,18.27,17.7,17.34,16.96,16.71,,U,,1.56,"C05;A07;P08    ",0.287,17.31,29.964,F,420.34,33.044,R,3.888,26.054,0.606,1.501,bllac,plotkin
125359.31+624257.4,193.49715,62.71597,H,Y,20.05,19.29,18.77,18.43,18.12,0.867,L,0.105,1.69,"C05;A07;P08    ",,18.09,30.653,F,13.6,32.507,R,4.978,27.359,0.365,1.264,bllac,plotkin
125433.27+221103.7,193.63866,22.18437,H,N,18.05,17.63,17.3,16.99,16.74,,U,,1.1,,0.247,16.91,29.874,F,83.43,32.209,U,2.283,25.669,0.46,1.615,bllac,plotkin
125555.40+384811.3,193.98087,38.80314,H,N,19.82,19.46,18.97,18.65,18.4,0.559,T,0.126,1.01,,,18.38,30.056,F,22.61,32.357,U,1.532,26.359,0.453,1.419,bllac,plotkin
125639.35+060908.0,194.16397,6.15224,H,N,20.37,19.94,19.17,18.69,18.32,0.423,R,0.296,0.65,"A07;P08        ",,18.26,29.844,F,45.49,32.419,R,11.57,26.934,0.507,1.117,bllac,plotkin
125716.58+364714.9,194.3191,36.78748,H,Y,18.39,18.04,17.71,17.48,17.26,0.531,T,0.091,0.84,,,17.24,30.464,F,73.86,32.826,R,7.151,26.97,0.465,1.342,bllac,plotkin
125905.02+222716.5,194.77094,22.4546,H,N,21.75,20.84,20.48,20.06,19.54,,U,,1.26,,0.7,19.51,29.837,F,4.13,31.81,U,2.139,26.752,0.389,1.184,bllac,plotkin
130008.52+175538.0,195.03552,17.92722,H,N,20.46,20.15,19.84,19.58,19.43,,U,,1.0,,0.626,19.38,29.773,F,8.03,32.004,U,2.084,26.616,0.439,1.212,bllac,plotkin
130032.78+535112.4,195.13663,53.85345,H,N,20.09,19.28,18.82,18.44,18.07,0.474,L,0.128,1.52,"P08            ",,18.04,29.972,F,32.98,32.378,U,1.56,26.186,0.474,1.454,bllac,plotkin
130145.65+405624.7,195.44022,40.9402,H,Y,18.64,18.35,18.09,17.95,17.78,0.649,L,0.06,0.75,"A07;P08        ",,17.76,30.471,F,26.59,32.555,R,14.18,27.489,0.41,1.145,bllac,plotkin
130146.31+441619.2,195.44296,44.27201,H,N,19.47,19.03,18.64,18.33,18.06,,U,,1.28,"P08            ",0.378,18.6,29.734,F,53.64,32.392,U,1.476,25.92,0.523,1.464,bllac,plotkin
130255.35+505618.2,195.73065,50.93841,H,Y,19.98,19.75,19.56,19.38,19.17,,U,,0.89,"C05;A07;P08    ",0.621,19.16,29.859,F,2.32,31.458,R,59.94,28.066,0.315,0.688,bllac,plotkin
130531.25+385521.9,196.38023,38.92277,H,Y,20.26,19.88,19.23,18.76,18.46,0.376,R,0.291,1.34,"A07            ",,19.18,29.497,N,42.613,32.288,R,9.939,26.743,0.549,1.057,bllac,plotkin
130925.52+430505.5,197.35635,43.08486,H,Y,17.72,17.29,16.98,16.77,16.59,1.154,T,0.056,1.0,"A07;P08        ",,16.93,31.577,F,58.19,33.369,R,6.099,27.773,0.353,1.461,bllac,plotkin
130933.93+115424.5,197.39139,11.90683,H,Y,19.47,18.85,18.37,18.05,17.67,,U,,1.71,"P08            ",0.383,18.27,29.899,F,858.62,33.608,U,3.367,26.292,0.73,1.385,bllac,plotkin
131106.47+003510.0,197.77698,0.58612,H,Y,18.54,18.18,17.86,17.6,17.36,,U,,1.01,"C05;A07;P08    ",0.33,18.06,29.917,F,22.75,31.9,R,16.0,26.813,0.39,1.192,bllac,plotkin
131146.02+395317.5,197.94177,39.8882,H,N,20.6,20.27,19.83,19.53,19.25,,U,,1.17,"P08            ",0.599,19.23,29.78,F,14.98,32.237,U,1.316,26.368,0.484,1.31,bllac,plotkin
131330.12+020105.9,198.37552,2.01832,H,Y,19.74,19.15,18.64,18.22,17.85,0.356,R,0.224,0.98,"C05;A07;P08    ",,18.56,29.67,F,52.89,32.332,R,7.118,26.539,0.524,1.202,bllac,plotkin
131443.80+234826.7,198.68254,23.80744,H,Y,17.61,17.17,16.83,16.57,16.36,,U,,1.18,,0.174,16.55,29.667,F,174.76,32.222,R,16.31,26.175,0.503,1.341,bllac,plotkin
131931.73+140533.1,199.88225,14.09254,H,Y,18.26,18.02,17.68,17.45,17.24,0.573,R,0.095,0.79,"A07;P08        ",,17.21,30.56,F,65.8,32.842,R,92.78,28.167,0.449,0.919,bllac,plotkin
131935.27+272502.2,199.89696,27.41729,H,N,20.55,20.08,19.79,19.53,19.27,,U,,0.88,,0.654,19.25,29.878,F,11.55,32.199,U,1.87,26.618,0.457,1.252,bllac,plotkin
132231.46+134429.8,200.63112,13.74164,H,N,20.46,19.97,19.17,18.79,18.43,0.377,R,0.29,0.51,,,19.11,29.488,F,8.87,31.607,R,8.411,26.672,0.417,1.081,bllac,plotkin
132239.31+494336.2,200.6638,49.72673,H,N,21.45,20.77,19.73,19.2,18.97,0.332,R,0.353,0.86,"A07;P08        ",,19.7,29.145,F,4.01,31.153,R,7.835,26.51,0.395,1.011,bllac,plotkin
132247.40+321608.5,200.69751,32.26903,H,N,19.55,19.28,18.96,18.69,18.43,,U,,1.26,,0.535,18.4,29.982,N,905.459,33.921,U,1.312,26.243,0.776,1.436,bllac,plotkin
132301.00+043951.3,200.7542,4.66427,H,Y,23.92,19.47,18.21,17.86,17.45,0.224,R,0.303,0.75,"C05;A07;P08    ",,17.8,29.451,F,29.33,31.671,R,48.24,26.897,0.437,0.981,bllac,plotkin
132358.36+140559.4,200.99318,14.09984,H,N,19.39,19.0,18.67,18.42,18.17,0.773,L,0.098,0.96,,,18.13,30.501,F,25.65,32.687,R,15.97,27.736,0.43,1.062,bllac,plotkin
132541.92-022810.1,201.4247,-2.46948,H,N,20.47,20.13,19.88,19.62,19.28,0.791,L,0.175,0.64,"C05;A07;P08    ",,19.22,30.087,F,9.17,32.259,R,24.26,27.944,0.428,0.823,bllac,plotkin
132614.99+293330.9,201.56245,29.55861,H,Y,18.77,18.48,18.22,17.99,17.81,0.429,T,0.092,1.01,"A07;P08        ",,17.79,30.014,F,16.48,31.991,R,36.63,27.451,0.389,0.984,bllac,plotkin
132617.70+122958.7,201.57378,12.49965,H,Y,19.63,19.01,18.31,17.94,17.68,0.204,R,0.272,0.72,"A07;P08        ",,17.88,29.334,F,29.35,31.588,R,59.06,26.891,0.444,0.938,bllac,plotkin
132758.95+252746.4,201.99565,25.4629,H,N,19.59,19.1,18.81,18.62,18.49,,U,,1.02,,0.611,18.48,30.109,F,10.39,32.095,U,2.087,26.59,0.391,1.351,bllac,plotkin
132759.77+645811.3,201.99905,64.96982,H,N,20.42,20.04,19.26,18.79,18.51,0.447,R,0.313,1.67,"C05            ",,18.48,29.719,N,37.966,32.388,U,2.049,26.241,0.525,1.335,bllac,plotkin
132802.09+112913.6,202.00874,11.48713,H,N,18.91,18.53,18.51,18.28,18.26,1.827,T,,0.28,"P08            ",,18.43,31.212,F,2.06,32.266,U,3.004,27.993,0.207,1.236,bllac,plotkin
132833.56+114520.5,202.13988,11.7557,H,Y,19.59,19.36,19.06,18.75,18.62,,U,,1.49,"A07;P08        ",0.519,18.58,29.861,F,2.7,31.37,R,38.89,27.681,0.297,0.837,bllac,plotkin
133021.52+444120.3,202.58968,44.68899,H,N,19.24,18.84,18.53,18.28,18.03,,U,,1.08,"A07;P08        ",0.393,18.01,29.825,F,17.98,31.951,R,11.99,26.871,0.419,1.134,bllac,plotkin
133026.52+241521.5,202.61052,24.25598,H,N,20.42,19.97,19.49,19.03,18.72,0.463,R,0.286,0.95,,,18.7,29.732,F,19.19,32.122,R,3.943,26.563,0.471,1.217,bllac,plotkin
133040.69+565520.1,202.66956,56.92227,H,N,19.81,19.46,19.15,19.04,18.72,,U,,0.94,"P08            ",0.562,18.7,29.934,F,12.56,32.106,U,1.421,26.331,0.428,1.383,bllac,plotkin
133046.71-000543.5,202.69463,-0.09544,H,N,23.19,20.93,19.61,19.0,18.61,0.242,R,0.34,3.09,,,18.94,28.881,U,1.01,30.275,U,3.02,25.771,0.275,1.194,bllac,plotkin
133102.91+565541.8,202.76215,56.9283,H,N,20.52,19.91,19.05,18.61,18.39,0.27,R,0.288,0.45,"A07;P08        ",,19.02,29.201,F,3.24,30.877,R,7.391,26.27,0.33,1.125,bllac,plotkin
133105.70-002221.2,202.77374,-0.37257,H,Y,20.63,19.82,18.93,18.55,18.2,0.243,R,0.25,1.13,"C05;A07;P08    ",,18.5,29.217,F,8.68,31.21,R,5.163,26.005,0.392,1.233,bllac,plotkin
133133.44+171250.6,202.88937,17.21406,H,Y,20.51,20.09,19.66,19.31,19.0,,U,,1.3,,0.505,18.97,29.689,F,186.98,33.186,R,3.651,26.624,0.689,1.177,bllac,plotkin
133312.77+293554.2,203.30322,29.59841,H,N,20.34,19.7,19.21,18.9,18.83,1.555,T,,1.58,,,19.18,31.183,U,2.365,32.207,U,1.524,27.513,0.202,1.409,bllac,plotkin
133325.99+623541.7,203.3583,62.59492,H,Y,20.33,20.11,19.83,19.5,19.17,,U,,1.54,"C05;A07;P08    ",0.62,19.15,29.833,F,5.33,31.818,R,2.53,26.69,0.391,1.207,bllac,plotkin
133336.72+155409.7,203.40302,15.90271,H,N,19.36,19.12,18.91,18.64,18.48,,U,,1.87,,0.577,18.44,30.016,F,3.83,31.613,U,2.623,26.626,0.314,1.301,bllac,plotkin
133605.59+210526.4,204.0233,21.09067,H,N,20.37,20.0,19.68,19.36,19.12,,U,,0.92,,0.54,19.09,29.738,F,5.19,31.688,U,1.993,26.434,0.384,1.268,bllac,plotkin
133612.16+231958.0,204.05067,23.3328,H,N,19.6,19.15,18.62,18.38,18.02,0.267,R,0.203,0.85,,,18.57,29.378,F,10.15,31.364,R,10.37,26.407,0.391,1.141,bllac,plotkin
