Object Name,RA(deg),DEC(deg),Redshift
SDSS J081250.79+522530.8,123.21168,52.42523,1.153205
2MASS J08125144+5554219,123.21435,55.90606,0.382771
SDSS J081258.40+153152.2,123.24334,15.53117,2.24471
SDSS J081322.91+343758.5,123.34547,34.63294,0.774266
FBQS J081421.2+294021,123.5887,29.67252,1.08353
2MASS J08160957+4910043,124.03992,49.1679,0.475
WISE J081649.78+205106.4,124.20743,20.85179,0.058285
WISE J081750.99+324340.7,124.4625,32.72792,0.795
B3 0814+425,124.56667,42.37928,0.53
FBQS J081827.3+281402,124.61397,28.23411,0.225474
B2 0815+32,124.66694,31.89672,2.065
WISE J081918.85+274730.7,124.82857,27.79186,0.392929
SDSS J081931.58+142937.6,124.88162,14.49379,0.494
SDSS J081956.03+132100.9,124.98346,13.35026,
FBQS J082020.2+364004,125.08412,36.66791,0.393
2MASS J08205119+2353451,125.21333,23.8959,0.402163
SDSS J082320.56+112551.6,125.83567,11.431,0.44
2MASX J08232326+1524482,125.84686,15.41333,0.166616
4C +22.21,125.85316,22.38425,0.951
2MASS J08260391+4130437,126.51639,41.51211,2.025
SDSS J082638.58+515233.1,126.66078,51.87588,2.826976
SDSS J082722.73+032755.9,126.84473,3.46555,2.0225
SDSS J082801.14+231217.6,127.00477,23.20489,0.24
SDSS J082814.20+415351.9,127.05918,41.89775,0.226153
SDSS J082927.85+075911.4,127.36605,7.98652,
SDSS J082935.10+261746.4,127.39627,26.29624,0.635
SDSS J083133.04+174630.8,127.88769,17.77523,1.545
[HB89] 0829+046,127.95365,4.49419,0.173683
[HB89] 0828+493,128.09674,49.22251,0.548
SDSS J083304.73+415331.3,128.26976,41.89204,2.329499
SDSS J083330.56+233909.1,128.37736,23.65256,2.42315
2MASS J08335705+4726525,128.48786,47.44804,0.494477
2MASS J08341388+5112143,128.55797,51.20405,2.3907
SDSS J083417.58+182501.6,128.57328,18.41712,0.336
B3 0831+442,128.7425,44.06059,0.475
2MASS J08354322+0937177,128.93008,9.62167,0.415
2MASX J08354812+1517176,128.95058,15.28806,0.168479
SDSS J083650.86+142539.0,129.21194,14.42753,1.749572
2MASXi J0837247+145819,129.35297,14.97217,0.278038
SDSS J083743.98+175920.4,129.43326,17.98902,0.313
SDSS J083858.56+232252.9,129.74401,23.38138,
SDSS J083918.74+361856.1,129.82812,36.31559,0.334485
[HB89] 0836+182,129.87801,18.04643,0.28
WISE J083943.36+354001.5,129.9307,35.66705,0.415
2MASS J08401304+3440269,130.05426,34.67415,0.451177
SDSS J084056.05+372105.8,130.23354,37.35157,0.445
2MASS J08422550+0252524,130.6063,2.88131,0.424957
SDSS J084249.02+235204.7,130.70429,23.868,3.31566
SDSS J084325.59+110159.7,130.85665,11.03326,0.435
SDSS J084424.20+124546.0,131.10102,12.76294,2.489422
2MASS J08445223+2804096,131.21782,28.06943,0.453478
WISE J084712.93+113350.2,131.80388,11.56396,0.198199
2MASS J08490880+0206220,132.28669,2.10623,1.525
WISE J084932.55+045507.8,132.38563,4.91886,1.06959
SDSS J085025.60+342750.9,132.6067,34.46417,1.38906
2MASX J08503620+3455231,132.65074,34.92299,0.144965
SDSS J085102.97+054905.9,132.76241,5.81831,0.486361
2MASX J08513593+5528341,132.89971,55.47626,0.435
2MASS J08522911+2433541,133.12128,24.56512,0.357748
2MASX J08525307+1757190,133.22121,17.95514,0.210505
SDSS J085254.40+180000.7,133.22668,18.0002,0.499
B3 0850+443,133.54121,44.14175,0.382159
SDSS J085410.16+275421.7,133.54237,27.90604,0.493754
OJ +287,133.70365,20.10851,0.3056
SDSS J085506.39+260142.1,133.77666,26.02837,0.694386
SDSS J085638.50+014000.6,134.16044,1.66688,0.448184
WISE J085639.74+205743.4,134.16558,20.96206,0.539104
