Object Name,RA(deg),DEC(deg),Redshift
SDSS J132541.91-022810.1,201.42469,-2.46948,0.8073
SDSS J132614.99+293330.9,201.56246,29.55861,0.43
2MASX J13261766+1229585,201.57378,12.49965,0.204153
SDSS J132703.26+341321.7,201.7636,34.22271,2.5567
SDSS J132758.05+441326.7,201.99189,44.22411,1.372236
SDSS J132758.95+252746.4,201.99565,25.4629,2.225
2MASS J13275991+6458118,201.99897,64.96983,0.44693
SDSS J132802.09+112913.6,202.00874,11.48713,1.313
SBS 1326+551,202.04,54.91467,2.09553
SDSS J132833.56+114520.5,202.13987,11.7557,0.49
SDSS J133021.52+444120.3,202.58968,44.68898,2.145
SDSS J133026.52+241521.5,202.61061,24.25584,0.463
SDSS J133040.69+565520.1,202.66955,56.92227,1.06025
SDSS J133046.70-000543.6,202.69461,-0.09545,0.242327
2MASS J13310292+5655416,202.76214,56.9283,0.270012
2MASS J13310569-0022208,202.77373,-0.37258,0.242561
2MASS J13313344+1712507,202.88933,17.21408,0.405
SDSS J1332+0347,203.09428,3.79444,1.446906
SDSS J133312.77+293554.2,203.30323,29.59841,1.555
SDSS J133319.26+245046.6,203.33029,24.84628,
SDSS J133325.99+623541.7,203.3583,62.59496,0.625
SDSS J133336.72+155409.7,203.40301,15.90271,1.915
SDSS J133605.59+210526.4,204.0233,21.09067,0.435
SDSS J133612.16+231958.0,204.05067,23.3328,0.267
WISE J133859.06+115316.7,204.74606,11.88798,1.589
SDSS J133910.80+080024.4,204.79502,8.0068,2.145
WISE J134029.82+441003.9,205.12416,44.16777,0.545919
SDSS J134037.58-014847.6,205.1566,-1.81325,0.512822
2MASS J13410510+3959454,205.27127,39.99595,0.172
SBS 1339+554,205.40096,55.24388,0.206949
SDSS J134145.08+190536.7,205.43787,19.09354,2.055
SDSS J134156.62+133845.3,205.48595,13.64592,
SDSS J134240.33+093911.2,205.66806,9.65312,1.915
SDSS J134601.28+585820.2,206.50538,58.97226,1.667294
2MASX J13463397+2440582,206.64162,24.68291,0.167492
2MASX J13485338+0756478,207.22256,7.9466,0.249579
SDSS J134951.93+382334.1,207.46642,38.39281,1.093618
WISE J135120.85+111453.1,207.83686,11.24806,1.995
SDSS J135158.20+554210.8,207.9925,55.70303,0.389321
2MASX J13531412+3741142,208.30866,37.68714,0.215887
PKS 1350+148,208.34517,14.59424,0.405
2MASS J13532805+5600566,208.36687,56.01583,0.40412
FBQS J135426.6+370654,208.61123,37.1152,0.383965
SDSS J135444.21+062248.1,208.68422,6.38004,0.276
SDSS J135712.95-014600.5,209.30397,-1.76683,0.547155
WISE J135738.70+012813.7,209.41126,1.47045,0.2187
SDSS J140121.13+520928.9,210.33806,52.15803,0.481817
SDSS J140127.23+484841.7,210.36349,48.8116,2.025
2MASS J14013872+3611217,210.41137,36.18942,0.506957
2MASS J14033087+3606508,210.87856,36.11422,0.249729
SDSS J140350.28+243304.7,210.95951,24.55133,0.342725
SDSS J140438.58+501116.4,211.16077,50.18791,1.52
2MASS J14044969+6554313,211.20656,65.90878,0.362723
[HB89] 1402+042,211.21208,4.03397,0.344
SDSS J140519.62+305351.7,211.33179,30.8977,0.343
SDSS J140630.18+123620.4,211.62575,12.60568,0.695477
SDSS J140641.39+481824.8,211.67247,48.30689,2.065
SDSS J140642.75+530833.8,211.67814,53.14274,0.457805
SDSS J140710.26+241853.6,211.79279,24.31489,1.667132
SDSS J140916.33-000011.2,212.31807,-0.00314,2.128
SDSS J140918.18+014217.4,212.32578,1.70486,0.938853
2MASS J14092353+5939408,212.34786,59.66132,0.495845
SDSS J141003.91+051557.7,212.51632,5.26604,0.544101
[HB89] 1407+022,212.5194,2.05192,1.253
WISE J141029.56+282055.7,212.62316,28.34883,0.522091
2MASS J14103085+6100125,212.62851,61.00356,0.383475
2MASS J14114050+3404244,212.91895,34.07345,0.421145
SDSS J141141.96+140233.9,212.92487,14.04277,1.753153
2MASX J14115995+6344147,213.00018,63.73749,0.06792
SDSS J141522.41+270318.2,213.8434,27.05507,3.875
2MASS J14153679+4830303,213.90334,48.50847,0.496167
SDSS J141657.93+123431.6,214.24138,12.57546,2.614842
SDSS J141730.92+073320.6,214.37885,7.55576,1.709566
SDSS J141756.67+254326.2,214.48614,25.72395,0.236299
WISE J141826.33-023334.0,214.60969,-2.55948,2.055
2MASS J14192748+0445138,214.86457,4.75383,1.7935
[HB89] 1418+546,214.94416,54.38744,0.152561
SDSS J142013.68+061428.6,215.05703,6.24129,0.625
SDSS J142106.41+315940.9,215.27673,31.99471,1.535
SDSS J142116.23+052252.3,215.31766,5.38121,0.926489
2MASS J14223892+5801555,215.66206,58.03208,0.634926
2MASS J14230466+3737303,215.7693,37.62514,0.415
SDSS J142330.67+141247.8,215.87783,14.21328,2.065
2MASS J14240952+0434521,216.03959,4.58113,0.6654
2MASX J14242118+3705530,216.08816,37.0982,0.289639
2MASS J14242293+3433567,216.09543,34.56579,0.5764
SDSS J142436.29+144910.5,216.15124,14.8196,2.055
FBQS J142455.5+361536,216.23132,36.26008,2.055
SDSS J142526.18-011825.7,216.35909,-1.30715,0.041
SDSS J142601.30+243245.7,216.50546,24.54604,2.115467
SDSS J142605.77+531558.6,216.52409,53.2663,0.1227
FBQS J142607.7+340426,216.53216,34.07397,1.553
SDSS J142645.52+241523.0,216.6897,24.25641,2.045
SDSS J142724.88-001450.9,216.85368,-0.24749,0.163955
WISE J142832.62+424021.0,217.13608,42.67239,0.129139
SDSS J142904.61+120410.2,217.26922,12.06951,2.085
SDSS J142943.60+385932.0,217.43185,38.99228,0.927924
2MASS J14332758+2441174,218.365,24.68825,2.055
SDSS J143653.39+053408.9,219.22248,5.56914,1.518
2MASS J14365771+5639249,219.2405,56.6569,0.15
SDSS J143716.15+471726.4,219.31732,47.29067,0.405
SDSS J143758.67+300207.1,219.49446,30.03531,0.2316
SDSS J143832.30+292210.3,219.6346,29.36953,0.435
FBQS J143917.4+393242,219.8229,39.54524,0.343663
SDSS J143946.13+460311.1,219.94223,46.05309,1.019
WISE J143946.98+495805.3,219.94573,49.96818,0.174
SDSS J144045.04+334322.2,220.18771,33.72286,1.535
FBQS J144050.0+333350,220.20876,33.56394,1.785871
WISE J144052.94+061016.2,220.22058,6.17117,0.435
4C +13.53,220.51684,13.48779,0.9915
WISE J144207.15+434836.7,220.5298,43.81019,0.6725
SDSS J144248.28+120040.2,220.70118,12.01119,0.163
SDSS J144334.40+251558.2,220.89337,25.26618,0.529022
2MASS J14443492+6336066,221.14541,63.60166,0.297966
SDSS J144632.57+412729.9,221.63572,41.45832,0.638235
LBQS 1445-0151,221.92402,-2.06088,1.430852
FBQS J144800.5+360831,222.00241,36.14213,1.565
SDSS J144803.36+240704.2,222.01404,24.11785,3.544
2MASX J14493265+2746213,222.38625,27.77269,0.225
SDSS J145045.56+461504.2,222.68984,46.25118,1.877432
2MASS J14505995+5201107,222.74996,52.01992,2.472
SDSS J145111.70+580003.0,222.79877,58.00085,0.405
SBS 1452+516,223.61302,51.40937,1.0831
2MASS J14550743+0250400,223.781,2.84447,0.405
SDSS J145514.08+235337.6,223.80871,23.89379,2.105
SDSS J145603.64+504825.9,224.01518,50.8072,0.478567
SDSS J145604.19+544253.1,224.01749,54.71477,1.7941
B3 1456+375,224.68664,37.33934,0.33343
SDSS J150057.85+484002.3,225.24106,48.66732,0.51
SDSS J150106.26+552750.7,225.2761,55.4641,0.012
FBQS J150233.9+335055,225.64144,33.84882,0.435
SDSS J150347.98+475930.9,225.94994,47.99192,0.385
SDSS J150410.48+300703.0,226.0437,30.1175,0.947
SDSS J150617.64+433413.6,226.57351,43.57046,0.47018
WISE J150644.47+081400.8,226.68529,8.23353,0.376
SDSS J150718.80+243122.7,226.82835,24.52298,0.019093
SBS 1508+561,227.44988,55.93814,1.68
SDSS J151433.75+190319.5,228.64064,19.05543,0.435
SDSS J151826.68+075222.3,229.6112,7.87288,0.379527
SDSS J152034.98+554256.9,230.14576,55.71582,0.640329
SDSS J152200.14+413741.6,230.50061,41.62825,3.2415
SDSS J152200.76+035017.0,230.50321,3.83807,0.837547
SDSS J152422.56+374034.1,231.09403,37.67615,1.21917
SDSS J152507.68+215343.0,231.28203,21.8953,2.145
SDSS J152913.56+381217.5,232.30654,38.20488,1.06225
FBQS J153044.0+231013,232.68369,23.17042,1.405456
WISE J153058.21+573625.3,232.74245,57.60702,1.0998
SDSS J153139.78+470705.9,232.91579,47.11833,2.145
2MASS J15314952+4659135,232.95615,46.98716,0.316365
2MASS J15331125+1854290,233.29688,18.90809,0.307079
FBQS J153324.2+341640,233.35105,34.27784,0.8105
FBQS J153447.2+371554,233.69667,37.26523,0.142783
2MASS J15350086+5320374,233.75334,53.3437,0.89
2MASS J15392568+4217279,234.85701,42.29114,1.156
SDSS J154146.37+263100.8,235.44324,26.5169,1.716
SDSS J154604.25+081913.4,236.51774,8.32041,0.512
SDSS J154623.71+181715.3,236.59883,18.28759,1.005
SDSS J154633.15+060345.5,236.63813,6.06265,1.305546
SDSS J154850.76+001852.3,237.21153,0.31456,
WISE J155203.26+085047.4,238.01359,8.84648,1.015
SDSS J155331.07+060143.8,238.37947,6.02884,0.619
SDSS J155412.07+241426.6,238.55032,24.24073,0.301
2MASX J15542410+2011249,238.60054,20.1904,0.222
SDSS J155500.58+214159.8,238.75243,21.69995,0.387593
SDSS J155626.90+103457.3,239.11214,10.58261,1.889
SDSS J155651.00+385446.4,239.21251,38.91289,
SDSS J155848.37+022818.5,239.70157,2.47183,2.256
2MASS J15595220+2316567,239.9675,23.28244,0.415
SDSS J160114.81+042052.7,240.31174,4.34799,2.152173
SDSS J160118.95+063136.0,240.329,6.52667,0.358
FBQS J160218.0+305109,240.57539,30.85258,1.091
SDSS J160339.49+500955.5,240.91461,50.16542,0.6209
SDSS J160410.22+432614.6,241.0426,43.43742,1.5382
SDSS J160436.64+173325.0,241.15271,17.55696,1.006
SDSS J160519.04+542059.9,241.32935,54.35,0.211773
2MASS J16074064+2541160,241.91915,25.6877,0.53226
SDSS J160827.08+075811.5,242.11286,7.96988,1.098
SDSS J160909.77+342154.1,242.29069,34.36501,0.578
SDSS J161016.47+303945.9,242.56865,30.66276,1.034798
SDSS J161245.67+511816.8,243.19029,51.30469,1.594232
SDSS J161353.49+220159.4,243.47291,22.03319,0.871892
SDSS J161409.43+203602.0,243.53931,20.60058,2.055
SDSS J161415.20+004722.0,243.56338,0.78946,2.19212
B3 1614+473,243.92167,47.1866,0.19868
2MASX J16160849+2241070,244.03537,22.68542,0.329961
SDSS J161633.78+333043.4,244.14073,33.5121,0.435
SDSS J161706.32+410647.0,244.27636,41.11307,0.267
B2 1616+36,244.59825,36.53384,0.733527
2MASS J16183059+0622116,244.6275,6.36987,0.435
SDSS J161836.09+153313.5,244.65041,15.55377,4.32607
SDSS J162115.21-003140.3,245.31338,-0.52789,0.4132
SDSS J162258.85+064919.3,245.74525,6.82205,
SDSS J162259.24+440142.9,245.74695,44.02857,0.122
SDSS J162332.26+284128.7,245.88444,28.69131,0.377
SDSS J162356.37+133614.1,245.9849,13.60392,
SDSS J162451.69+232515.8,246.21538,23.42106,0.441399
SDSS J162625.85+351341.4,246.60772,35.22821,0.49738
SDSS J162650.39+342229.4,246.70998,34.37485,2.288
SDSS J162712.98+314956.0,246.80411,31.83225,0.58
2MASX J16283902+2527560,247.16263,25.46553,0.220019
SDSS J162856.27+140028.7,247.23448,14.00799,2.045
SDSS J162933.60+253200.6,247.39003,25.53351,1.339498
2MASS J16312462+4217024,247.85292,42.28399,0.466428
SDSS J163214.52+175849.6,248.06053,17.98045,0.287
2MASX J16332244+4227388,248.34368,42.4608,0.133208
2MASS J16370949+4326004,249.2896,43.43343,0.343514
2MASS J16371675+1314383,249.31973,13.24411,1.545
B3 1635+458,249.36112,45.79694,0.192201
SDSS J163739.15+221039.9,249.41317,22.17775,0.689144
SDSS J163836.22+435403.0,249.65093,43.90084,0.46993
SDSS J163843.23+133409.8,249.68014,13.5694,0.471963
SDSS J164128.55+211759.6,250.36897,21.2999,0.673
2MASS J16422033+2211435,250.58466,22.1954,0.591463
SDSS J164301.06+322104.0,250.75439,32.3511,1.028
SDSS J164302.03+441422.1,250.75852,44.23946,1.650397
B3 1642+458,251.08321,45.779,0.224775
SDSS J164729.70+252154.4,251.87378,25.36512,0.443452
SDSS J164903.28+304936.5,252.26369,30.82683,2.055923
FBQS J165109.1+421253,252.7883,42.21485,0.268783
SDSS J165146.61+184709.0,252.94421,18.78585,0.447194
SDSS J165248.44+363212.5,253.20188,36.53682,0.647531
FBQS J165249.9+402309,253.20803,40.38609,0.24
SDSS J165412.83+354334.9,253.55349,35.72638,0.753316
SDSS J165542.81+324420.0,253.92842,32.73897,1.06547
B3 1654+374,253.96762,37.38942,0.82965
SDSS J165806.76+611858.9,254.52818,61.31638,2.631545
2MASS J16580829+6150021,254.53471,61.83394,0.374326
SDSS J165851.61+341908.8,254.71507,34.31914,
SDSS J170108.89+395443.0,255.2871,39.91196,1.902717
FBQS J170124.6+395437,255.35264,39.9103,0.507397
FBQS J170238.5+311543,255.66061,31.26209,2.075
FBQS J171248.7+293117,258.20321,29.52133,0.42
SDSS J171427.40+560156.0,258.61419,56.03225,0.401529
SDSS J171445.53+303628.0,258.68975,30.60778,0.85
SDSS J171501.35+292912.3,258.75567,29.48677,1.53
SDSS J171902.34+552434.5,259.75975,55.40961,0.626644
SDSS J172858.15+603512.7,262.24233,60.58688,1.785418
2MASS J17291881+5255592,262.32815,52.93314,0.349114
SDSS J173719.12+570216.5,264.32976,57.0379,0.032
SDSS J204921.74-003926.6,312.3406,-0.6574,0.257
SDSS J205133.22-002130.1,312.88844,-0.35839,
2MASX J20545682+0015378,313.73687,0.2605,0.150842
2MASS J20552338-0506189,313.8474,-5.10535,0.342567
WISE J205528.22-002117.0,313.86762,-0.35476,2.085
2MASS J20593853-0037557,314.91075,-0.63222,0.33539
SDSS J210436.56-072146.7,316.15234,-7.36299,
SDSS J211552.88+000115.4,318.97035,0.02098,2.5
2MASS J21160322-0108285,319.01346,-1.14123,0.305428
FBQS J2116-0628,319.04955,-6.47511,0.291641
SDSS J212416.05-074129.8,321.06688,-7.69163,1.402545
SDSS J212756.66+004745.6,321.98613,0.79603,0.443487
SDSS J213742.23-003912.7,324.42605,-0.65354,2.257689
SDSS J214406.27-002858.1,326.02613,-0.48283,0.0335
SDSS J214807.07-073346.9,327.0295,-7.56304,0.768019
SDSS J215051.71+111916.6,327.71549,11.32128,0.494635
2MASS J21530534-0042307,328.27229,-0.70855,0.341348
FBQS J2156-0855,329.2097,-8.9265,1.017
SDSS J215950.30+124718.4,329.95961,12.78846,1.5145
FBQS J2204+0031,331.18864,0.52829,1.353453
FBQS J2211-0003,332.78476,-0.0507,0.361951
FBQS J2211-0023,332.79118,-0.39094,0.447575
SDSS J221456.37+002000.0,333.73489,0.33338,0.585782
2MASS J22330112+1336022,338.25466,13.60055,0.213631
SDSS J224046.89+132602.6,340.1954,13.43408,0.660357
SDSS J224448.09-000619.3,341.20041,-0.10542,0.5978
FBQS J2247+0000,341.87582,0.0018,0.094
SDSS J224949.85+130844.7,342.45779,13.14574,0.6334
2MASS J22523220+1245109,343.13412,12.75303,0.496476
2MASS J22535423+1404371,343.47598,14.07691,0.326736
2MASS J22562428+1305412,344.10114,13.09491,0.415
SDSS J232428.43+144324.3,351.11847,14.72344,1.417152
WISE J233453.82+143214.9,353.72433,14.53743,0.415
SDSS J233939.48-103539.3,354.91453,-10.59427,2.75742
FBQS J2356-0023,359.01672,-0.3983,0.283119
