id , Source name , aro-aox-arx
298 , "5BZGJ0153+7115 " , 2.489
299 , "5BZGJ0153-0118 " , 1.221
300 , "5BZBJ0154+0823 " , 1.372
301 , "5BZQJ0154-5107 " , -9.9
302 , "5BZQJ0154-1346 " , -9.9
303 , "5BZBJ0154+4433 " , 1.5
304 , "5BZQJ0154+4743 " , -9.9
305 , "5BZQJ0155+0438 " , 1.304
306 , "5BZQJ0155+2230 " , -9.9
307 , "5BZBJ0156-5302 " , 1.153
308 , "5BZQJ0157+7442 " , 1.7
309 , "5BZQJ0157-4614 " , 0.981
310 , "5BZBJ0158-3932 " , 1.544
311 , "5BZUJ0158+0101 " , -9.9
312 , "5BZBJ0159+1047 " , 1.085
313 , "5BZBJ0159-2740 " , 1.724
314 , "5BZQJ0159-5143 " , -9.9
315 , "5BZBJ0200+2712 " , 0.957
316 , "5BZBJ0201+0034 " , 0.836
317 , "5BZQJ0202+3943 " , -9.9
318 , "5BZGJ0202-0559 " , 1.492
319 , "5BZQJ0202-1948 " , -9.9
320 , "5BZBJ0202+0849 " , 0.996
321 , "5BZBJ0202+4205 " , -9.9
322 , "5BZBJ0203+7232 " , 2.38
323 , "5BZBJ0203+3042 " , -9.9
324 , "5BZQJ0203+1134 " , 1.013
325 , "5BZGJ0204+4005 " , 2.109
326 , "5BZBJ0204-3333 " , 0.935
327 , "5BZUJ0204+1514 " , 1.272
328 , "5BZQJ0204-5146 " , -9.9
329 , "5BZQJ0204-1701 " , 1.276
330 , "5BZQJ0205+3212 " , 1.268
331 , "5BZQJ0205+1444 " , -9.9
332 , "5BZQJ0205+3932 " , -9.9
333 , "5BZQJ0206-1150 " , 1.09
334 , "5BZQJ0206-6143 " , -9.9
335 , "5BZBJ0207-6837 " , 1.328
336 , "5BZQJ0208-6216 " , -9.9
337 , "5BZBJ0208-0047 " , -9.9
338 , "5BZBJ0208+3523 " , 0.8
339 , "5BZBJ0209+4449 " , 1.008
340 , "5BZBJ0209-5229 " , 1.437
341 , "5BZQJ0209-0438 " , 1.477
342 , "5BZQJ0209+1352 " , -9.9
343 , "5BZUJ0209+7229 " , 1.305
344 , "5BZQJ0210-1003 " , 1.329
345 , "5BZUJ0210-5101 " , 1.753
346 , "5BZBJ0211+1051 " , 1.454
347 , "5BZUJ0211-1558 " , 1.422
348 , "5BZBJ0212-3503 " , 0.868
349 , "5BZBJ0212+2244 " , 1.358
350 , "5BZBJ0213+1213 " , -9.9
351 , "5BZQJ0213+1820 " , -9.9
352 , "5BZGJ0214+5144 " , 1.342
353 , "5BZQJ0215-0222 " , 0.905
354 , "5BZQJ0216-0118 " , -9.9
355 , "5BZQJ0216-0105 " , 1.437
356 , "5BZBJ0216+2314 " , 0.944
357 , "5BZQJ0216-7331 " , 1.434
358 , "5BZQJ0216-3247 " , 1.33
359 , "5BZBJ0216-6636 " , 1.208
360 , "5BZUJ0217-0820 " , 1.24
361 , "5BZBJ0217+0837 " , 1.415
362 , "5BZQJ0217+7349 " , 1.261
363 , "5BZQJ0217-7251 " , -9.9
364 , "5BZQJ0217-7347 " , 1.11
365 , "5BZQJ0217+0144 " , 1.469
366 , "5BZQJ0218-0923 " , -9.9
367 , "5BZBJ0219-1725 " , 1.192
368 , "5BZQJ0219+0120 " , -9.9
369 , "5BZBJ0219-1842 " , -9.9
370 , "5BZQJ0220-1305 " , -9.9
371 , "5BZQJ0220-2151 " , -9.9
372 , "5BZBJ0220-0842 " , 1.163
373 , "5BZUJ0220+2509 " , -9.9
374 , "5BZQJ0220-6330 " , 1.311
375 , "5BZUJ0221+3556 " , 1.156
376 , "5BZQJ0222-1615 " , 1.303
377 , "5BZBJ0222+4302 " , 1.7
378 , "5BZQJ0222-3441 " , -9.9
379 , "5BZBJ0223-1117 " , 1.327
380 , "5BZQJ0223-5347 " , -9.9
381 , "5BZQJ0223-1656 " , 1.335
382 , "5BZQJ0224+0659 " , 1.056
383 , "5BZQJ0225+1846 " , 0.794
384 , "5BZGJ0225+3710 " , 3.107
385 , "5BZUJ0226+0937 " , -9.9
386 , "5BZBJ0226-4441 " , 0.755
387 , "5BZQJ0227+3931 " , -9.9
388 , "5BZBJ0227+0202 " , 0.44
389 , "5BZQJ0227-0848 " , 1.235
390 , "5BZQJ0227-3026 " , 1.512
391 , "5BZQJ0228-5546 " , -9.9
392 , "5BZQJ0228-3719 " , -9.9
393 , "5BZQJ0228+6721 " , 1.645
394 , "5BZQJ0228-0337 " , 1.236
395 , "5BZQJ0229-3643 " , 0.804
396 , "5BZQJ0229-7847 " , -9.9
397 , "5BZQJ0229-1031 " , 1.23
