id , Source name , aro-aox-arx
577 , "5BZQJ0354-1616 " , -9.9
578 , "5BZBJ0354+8009 " , 0.976
579 , "5BZBJ0357-4955 " , 0.858
580 , "5BZUJ0357+2319 " , 0.933
581 , "5BZQJ0357-4812 " , 0.902
582 , "5BZQJ0357-4159 " , 0.914
583 , "5BZQJ0357-0751 " , -9.9
584 , "5BZQJ0357+0542 " , 0.93
585 , "5BZBJ0358-3054 " , 0.561
586 , "5BZQJ0359+5057 " , 0.981
587 , "5BZBJ0359-2615 " , -9.9
588 , "5BZQJ0359+3220 " , -9.9
589 , "5BZQJ0400+0550 " , -9.9
590 , "5BZGJ0401-1606 " , 0.914
591 , "5BZBJ0401+8153 " , 0.602
592 , "5BZQJ0401+2110 " , -9.9
593 , "5BZBJ0402-2615 " , 0.891
594 , "5BZQJ0402-3147 " , -9.9
595 , "5BZQJ0403+2600 " , 1.003
596 , "5BZBJ0403-2429 " , 0.551
597 , "5BZQJ0403-2444 " , -9.9
598 , "5BZQJ0403-3605 " , 0.903
599 , "5BZQJ0405-0739 " , -9.9
600 , "5BZQJ0405-1308 " , 0.951
601 , "5BZQJ0406-1749 " , -9.9
602 , "5BZQJ0406+0637 " , -9.9
603 , "5BZUJ0406-3826 " , 0.948
604 , "5BZBJ0407+0742 " , 0.879
605 , "5BZQJ0407-3303 " , -9.9
606 , "5BZUJ0407-1211 " , 0.817
