bname,other_name,ra,dec,z,rmag,btype,flux_1400MHz,flux_143GHz,flux_xray,flux_fermi,aro,aox,arx,catalog
5BZQJ1301+3337,WE 1259+33W1,13 01 29.15,+33 37 00.3,1.009,19.7,fsrq,76.0,0,0.0,6.0E-10,0.65,-9.9,-9.9,bzcat
5BZGJ1301+4634,BZQJ1301+4634,13 01 32.62,+46 34 02.78,0.205,16.3,bllac_gal,87.0,0,0.0,0.0,0.401,-9.9,-9.9,bzcat
5BZBJ1301+4056,1RXSJ130145.3+40,13 01 45.64,+40 56 24.61,0.0,18.1,bllac,28.0,0,1.09,0.0,0.446,1.18,0.695,bzcat
5BZBJ1301+4416,BZBJ1301+4416,13 01 46.31,+44 16 19.41,0.0,18.6,bllac,58.0,0,0.0,0.0,0.528,-9.9,-9.9,bzcat
5BZQJ1302+4819,1RXSJ130217.5+48,13 02 17.2,+48 19 17.61,0.874,17.9,fsrq,129.0,0,0.35,0.0,0.588,1.31,0.865,bzcat
5BZUJ1302+5748,S4 1300+58,13 02 52.47,+57 48 37.58,1.088,19.5,uncertain,320.0,0,0.22,0.0,0.718,1.229,0.949,bzcat
5BZBJ1302+5056,RXSJ13029+5056,13 02 55.33,+50 56 18.31,0.0,19.5,bllac,3.0,0,4.04,0.0,0.41,0.591,0.471,bzcat
5BZBJ1303+2433,IRASF13006+2450,13 03 03.23,+24 33 55.8,0.0,19.4,bllac,123.0,0,0.0,3.0E-9,0.704,-9.9,-9.9,bzcat
5BZUJ1303-1051,PKS1300-105,13 03 13.86,-10 51 17.09,0.0,21.4,uncertain,255.0,0,0.0,0.0,0.899,-9.9,-9.9,bzcat
5BZQJ1303-4621,CRATESJ130340-46,13 03 40.27,-46 21 02.3,1.664,0.0,fsrq,76.0,0,0.0,7.0E-10,-9.9,-9.9,-9.9,bzcat
5BZBJ1304-4353,1RXSJ130421.2-43,13 04 20.99,-43 53 10.21,0.0,16.1,bllac,44.0,0,2.24,3.7E-9,0.25,1.448,0.657,bzcat
5BZQJ1304-0346,PKS 1302-035,13 04 43.66,-03 46 02.38,1.25,19.4,fsrq,826.0,0,0.0,0.0,0.833,-9.9,-9.9,bzcat
5BZBJ1305+7854,S51304+791,13 05 00.05,+78 54 35.6,0.0,19.6,uncertain,287.0,0,0.0,3.0E-10,0.723,-9.9,-9.9,bzcat
5BZBJ1305+3855,GB6J1305+3855,13 05 31.25,+38 55 21.9,0.376,18.7,bllac,44.0,0,0.63,0.0,0.518,1.025,0.694,bzcat
5BZQJ1305-1033,1Jy1302-102,13 05 33.01,-10 33 19.4,0.286,14.4,fsrq,711.0,417,4.02,0.0,0.43,1.495,0.799,bzcat
5BZQJ1306+5529,GB6B1303+5545,13 06 03.35,+55 29 43.9,1.601,18.3,fsrq,133.0,0,0.18,0.0,0.611,1.336,0.911,bzcat
5BZQJ1306+4741,GB6B1304+4757,13 06 29.94,+47 41 32.49,2.523,18.3,fsrq,54.0,0,0.19,0.0,0.516,1.311,0.823,bzcat
5BZQJ1307-3207,PKS 1304-318,13 07 15.17,-32 07 58.51,1.211,19.4,fsrq,453.0,0,0.0,0.0,0.766,-9.9,-9.9,bzcat
5BZBJ1307-4259,1FGL_J1307.6-425,13 07 37.97,-42 59 38.9,0.0,15.6,bllac,36.0,0,2.39,2.0E-9,0.248,1.512,0.677,bzcat
5BZQJ1308+3546,1RXSJ130823.1+35,13 08 23.7,+35 46 37.2,1.055,20.0,fsrq,239.0,447,0.23,1.1E-9,0.81,1.046,0.932,bzcat
5BZQJ1308+4729,GB6J1308+4730,13 08 51.33,+47 29 54.88,0.884,18.9,fsrq,77.0,0,0.33,0.0,0.58,1.165,0.782,bzcat
5BZQJ1309+5557,S4 1307+56,13 09 09.75,+55 57 38.3,1.629,17.7,fsrq,266.0,0,0.53,0.0,0.62,1.246,0.88,bzcat
5BZBJ1309+4305,1FGL_J1309.5+430,13 09 25.53,+43 05 05.6,0.0,17.0,bllac,60.0,0,0.4,1.8E-9,0.374,1.539,0.769,bzcat
5BZBJ1309+1154,MC21307+12,13 09 33.93,+11 54 24.58,0.0,18.4,bllac,855.0,369,0.48,5.0E-10,0.793,1.258,0.951,bzcat
5BZQJ1309-3948,CGRaBSJ1309-3948,13 09 48.47,-39 48 33.08,1.828,19.3,fsrq,294.0,0,0.0,0.0,0.732,-9.9,-9.9,bzcat
5BZBJ1310-1157,RXSJ13102-1157,13 10 12.48,-11 57 46.4,0.14,14.7,uncertain,83.0,0,1.21,0.0,0.239,1.717,0.747,bzcat
5BZQJ1310+0044,PKS1307+010,13 10 28.5,+00 44 08.91,1.601,19.3,fsrq,170.0,0,0.0,4.0E-10,0.703,-9.9,-9.9,bzcat
5BZUJ1310+3220,1Jy1308+326,13 10 28.66,+32 20 43.8,0.997,17.6,uncertain,1687.0,1303,0.53,5.3E-9,0.683,1.377,0.949,bzcat
5BZQJ1310+4653,CRATESJ131053+46,13 10 53.58,+46 53 52.18,0.972,20.8,fsrq,131.0,0,0.24,0.0,0.84,0.915,0.915,bzcat
5BZQJ1310+3233,MG 1310+3233,13 10 59.4,+32 33 34.41,1.639,18.8,fsrq,374.0,346,0.14,5.3E-9,0.744,1.298,0.995,bzcat
5BZQJ1311+5513,GB6J1311+5514,13 11 03.21,+55 13 54.29,0.925,19.2,fsrq,425.0,0,0.18,0.0,0.777,1.217,0.948,bzcat
5BZBJ1311+0035,1RXSJ131106.4+00,13 11 06.47,+00 35 09.99,0.0,17.8,bllac,17.0,0,0.94,4.0E-10,0.34,1.26,0.652,bzcat
5BZQJ1311+1417,PKS 1308+145,13 11 07.81,+14 17 46.6,1.947,19.7,fsrq,735.0,0,0.0,0.0,0.847,-9.9,-9.9,bzcat
5BZBJ1311+3953,SDSSJ131146.02+3,13 11 46.02,+39 53 17.48,0.0,19.8,bllac,16.0,0,0.11,0.0,0.601,1.099,0.77,bzcat
5BZBJ1311+0853,SHBLJ131156.0+08,13 11 55.75,+08 53 40.99,0.469,19.3,bllac,5.0,0,2.69,0.0,0.42,0.68,0.523,bzcat
5BZQJ1312+4809,RX J13121+4809,13 12 11.14,+48 09 25.3,0.715,17.2,fsrq,160.0,0,0.58,4.0E-10,0.495,1.347,0.784,bzcat
5BZQJ1312+3515,PG 1309+355,13 12 17.75,+35 15 21.09,0.184,15.5,fsrq,47.0,0,1.1,0.0,0.261,1.545,0.699,bzcat
5BZUJ1312+4828,GB6B1310+4844,13 12 43.34,+48 28 30.9,0.501,21.0,uncertain,221.0,0,0.28,9.0E-9,0.801,0.971,0.88,bzcat
5BZQJ1312-0424,BZQJ1312-0424,13 12 50.89,-04 24 49.89,0.825,19.3,fsrq,226.0,0,0.32,4.0E-10,0.746,1.111,0.9,bzcat
5BZBJ1313+0201,1RXSJ131330.9+02,13 13 30.11,+02 01 05.91,0.356,18.4,bllac,60.0,0,0.39,0.0,0.538,1.189,0.77,bzcat
5BZQJ1313+1027,GB6B1311+1043,13 13 41.64,+10 27 14.4,2.912,18.8,fsrq,81.0,0,0.0,0.0,0.581,-9.9,-9.9,bzcat
5BZQJ1314-3303,TEX1311-328,13 14 03.56,-33 03 54.89,0.484,18.1,fsrq,95.0,0,0.34,0.0,0.558,1.33,0.836,bzcat
5BZBJ1314+2348,GB6B1312+2404,13 14 43.8,+23 48 26.78,0.0,16.8,bllac,184.0,0,1.1,1.4E-9,0.449,1.403,0.772,bzcat
5BZGJ1315-4236,MS1312.1-4221,13 15 03.39,-42 36 49.71,0.105,14.1,bllac_gal,14.0,0,8.85,0.0,-0.01,1.524,0.514,bzcat
5BZUJ1315-5334,2FGLJ1314.5-5330,13 15 04.17,-53 34 35.79,0.0,18.3,uncertain,0.0,307,0.0,1.6E-9,0.547,-9.9,-9.9,bzcat
5BZQJ1315+2840,GB6B1312+2856,13 15 13.49,+28 40 53.68,1.576,19.9,fsrq,110.0,0,0.14,0.0,0.705,1.131,0.87,bzcat
5BZQJ1316-3338,PKS1313-333,13 16 07.98,-33 38 59.2,1.21,17.7,fsrq,1278.0,838,0.97,2.6E-9,0.73,1.179,0.899,bzcat
5BZQJ1316-3025,CGRaBSJ1316-3025,13 16 32.98,-30 25 32.08,1.334,19.5,fsrq,107.0,0,0.0,0.0,0.674,-9.9,-9.9,bzcat
5BZQJ1317+3425,B2 1315+34A,13 17 36.48,+34 25 15.88,1.055,18.2,fsrq,529.0,316,0.34,3.0E-10,0.694,1.26,0.892,bzcat
5BZQJ1318-0607,BZQJ1318-0607,13 18 33.71,-06 07 23.8,2.734,18.8,fsrq,68.0,0,0.0,0.0,0.565,-9.9,-9.9,bzcat
5BZQJ1319-1217,2E1316.5-1201,13 19 12.09,-12 17 31.99,0.86,17.9,fsrq,466.0,0,0.26,5.0E-10,0.665,1.362,0.912,bzcat
5BZQJ1319+4851,BZQJ1319+4851,13 19 30.3,+48 51 03.2,1.17,19.2,fsrq,20.0,0,0.31,0.0,0.517,1.119,0.752,bzcat
5BZBJ1319+1405,RXSJ13195+1405,13 19 31.73,+14 05 33.1,0.573,17.7,bllac,76.0,0,5.49,0.0,0.437,0.968,0.634,bzcat
5BZBJ1319+2725,SDSSJ131935.27+2,13 19 35.27,+27 25 02.31,0.0,19.8,bllac,14.0,0,0.0,0.0,0.589,-9.9,-9.9,bzcat
5BZUJ1320+0140,PKS1317+019,13 20 26.79,+01 40 36.8,1.235,20.1,uncertain,671.0,0,0.22,0.0,0.796,1.132,0.943,bzcat
5BZQJ1321+2216,TEX1318+225,13 21 11.21,+22 16 12.1,0.943,18.7,fsrq,314.0,445,0.0,1.3E-9,0.721,-9.9,-9.9,bzcat
5BZQJ1321-2636,PKS 1318-263,13 21 14.04,-26 36 10.18,2.027,21.4,fsrq,510.0,0,0.0,0.0,0.948,-9.9,-9.9,bzcat
5BZQJ1321+0023,UM 569,13 21 39.56,+00 23 57.58,1.618,17.6,fsrq,163.0,0,0.23,0.0,0.55,1.402,0.846,bzcat
5BZQJ1322+2148,BZQJ1322+2148,13 22 11.4,+21 48 12.31,1.68,18.8,fsrq,241.0,0,0.0,0.0,0.684,-9.9,-9.9,bzcat
5BZQJ1322-8419,CRATESJ132232-84,13 22 27.73,-84 19 34.1,1.139,18.4,fsrq,100.0,0,0.0,0.0,0.592,-9.9,-9.9,bzcat
5BZGJ1322+1344,1WGAJ1322.5+1344,13 22 31.49,+13 44 30.29,0.377,18.7,bllac_gal,8.0,0,0.65,0.0,0.323,1.192,0.63,bzcat
5BZQJ1322-0937,2FGLJ1322.7-0938,13 22 36.9,-09 37 37.81,1.864,18.5,fsrq,403.0,0,0.0,5.0E-10,0.713,-9.9,-9.9,bzcat
5BZBJ1322+3216,B2 1320+32,13 22 47.4,+32 16 08.61,0.0,18.9,bllac,906.0,0,0.0,0.0,0.702,-9.9,-9.9,bzcat
5BZQJ1322+3912,1RXSJ132256.4+39,13 22 55.66,+39 12 07.99,2.985,17.6,fsrq,104.0,0,0.13,0.0,0.508,1.479,0.919,bzcat
5BZGJ1323+0439,1RXSJ132301.1+04,13 23 01.01,+04 39 51.58,0.224,17.9,bllac_gal,37.0,0,2.55,0.0,0.394,1.093,0.639,bzcat
5BZQJ1323-3407,PKS1320-338,13 23 17.14,-34 07 12.39,1.346,19.0,fsrq,466.0,0,0.0,0.0,0.735,-9.9,-9.9,bzcat
5BZQJ1323-3038,PKS1320-303,13 23 19.49,-30 38 06.61,2.057,19.2,fsrq,166.0,0,0.0,0.0,0.676,-9.9,-9.9,bzcat
5BZBJ1323-3653,CRATESJ132346-36,13 23 45.88,-36 53 37.78,0.0,19.1,bllac,127.0,0,0.09,0.0,0.668,1.397,0.915,bzcat
5BZQJ1323+7942,S5 1323+79,13 23 51.56,+79 42 51.8,1.97,20.4,fsrq,599.0,0,0.0,0.0,0.888,-9.9,-9.9,bzcat
