id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
1970 , "5BZQJ1243-3941 " , "PKS1240-394 " , "12 43 34.15" , "-39 41 52.51" , "301.28" , "23.14" , 1.387 , 19 , 7211 , 393 , 0 , 0 , ". " , " " , " " , 0 , 0.707
1971 , "5BZGJ1243-0613 " , "PKS1240-059 " , "12 43 34.5" , "-06 13 21.0" , "299.38" , "56.59" , 0.139 , 16.8 , 7309 , 346 , 0 , 0 , ". " , " " , " " , 0 , 0.453
1972 , "5BZQJ1243+7442 " , "1RXSJ124345.0+74" , "12 43 45.02" , "+74 42 37.11" , "123.61" , "42.4" , 0.782 , 19.4 , 7211 , 187 , 0 , 0.33 , ". " , " " , " " , 0 , 0.735
1973 , "5BZQJ1243+4043 " , "GB6J1243+4044 " , "12 43 55.78" , "+40 43 58.51" , "128.95" , "76.3" , 1.518 , 19.7 , 7211 , 191 , 0 , 0 , ". " , " " , " " , 0 , 0.73
1974 , "5BZBJ1244+0444 " , "SDSSJ124425.29+0" , "12 44 25.29" , "+04 44 59.6" , "298.34" , "67.55" , 0.4 , 19.3 , 7300 , 7 , 0 , 0 , ". " , " " , " " , 0 , 0.479
1975 , "5BZBJ1244+1616 " , "2E1242.2+1632 " , "12 44 44.34" , "+16 16 21.68" , "294.45" , "79.03" , 0.456 , 19.1 , 7300 , 14 , 0 , 0.61 , ". " , " " , " " , 0 , 0.476
1976 , "5BZBJ1245+5709 " , "1RXSJ124510.5+57" , "12 45 10.0" , "+57 09 54.39" , "124.62" , "59.94" , 0 , 17 , 7300 , 84 , 0 , 0.33 , ". " , " " , " " , 5e-10 , 0.442
1977 , "5BZBJ1245+0228 " , "1WGAJ1245.5+0228" , "12 45 33.78" , "+02 28 25.21" , "299.41" , "65.3" , 0 , 18.9 , 7300 , 35 , 0 , 0.1 , ". " , " " , " " , 0 , 0.518
1978 , "5BZQJ1245+4346 " , "1RXSJ124601.9+43" , "12 45 59.99" , "+43 46 26.9" , "126.35" , "73.31" , 1.15 , 17.7 , 7211 , 76 , 0 , 0.18 , ". " , " " , " " , 0 , 0.489
1979 , "5BZBJ1246+0113 " , "BZBJ1246+0113 " , "12 46 02.52" , "+01 13 18.8" , "299.84" , "64.05" , 0.386 , 18.3 , 7300 , 72 , 0 , 0 , ". " , " " , " " , 0 , 0.554
1980 , "5BZQJ1246-0730 " , "PKS 1243-072 " , "12 46 04.23" , "-07 30 46.58" , "300.59" , "55.33" , 1.286 , 19.6 , 7211 , 551 , 512 , 0 , ". " , " " , " " , 0 , 0.844
1981 , "5BZQJ1246-2547 " , "PKS1244-255 " , "12 46 46.79" , "-25 47 49.3" , "301.61" , "37.06" , 0.635 , 15.9 , 7211 , 1165 , 0 , 1.32 , ". " , " " , " " , 8.7e-9 , 0.61
1982 , "5BZBJ1247+4423 " , "1RXSJ124701.3+44" , "12 47 00.72" , "+44 23 19.78" , "125.59" , "72.71" , 0 , 18.6 , 7300 , 11 , 0 , 2.03 , ". " , " " , " " , 0 , 0.383
1983 , "5BZQJ1247+1022 " , "Q 1245+1038 " , "12 47 47.33" , "+10 22 31.58" , "299.82" , "73.22" , 1.382 , 17.4 , 7211 , 85 , 0 , 0 , ". " , " " , " " , 0 , 0.496
1984 , "5BZBJ1248+5820 " , "PG 1246+586 " , "12 48 18.77" , "+58 20 28.71" , "123.72" , "58.78" , 0 , 15.3 , 7300 , 245 , 0 , 3.99 , ". " , " " , " " , 4.1e-9 , 0.412
1985 , "5BZQJ1248-0632 " , "PKSB1245-062 " , "12 48 22.98" , "-06 32 09.81" , "301.56" , "56.32" , 0.762 , 19.9 , 7211 , 377 , 0 , 0.21 , ". " , " " , " " , 0 , 0.822
1986 , "5BZBJ1248+0830 " , "XMMJ12484+0830 " , "12 48 25.9" , "+08 30 20.98" , "300.6" , "71.36" , 0.43 , 19.2 , 7300 , 0.8 , 0 , 0.57 , ". " , " " , " " , 0 , 0.28
1987 , "5BZQJ1248-4559 " , "WMAP5J0519-4546 " , "12 48 28.5" , "-45 59 47.18" , "302.39" , "16.87" , 1.02 , 16.7 , 7211 , 1196 , 242 , 0.84 , ". " , " " , " " , 0 , 0.625
1988 , "5BZBJ1248+5128 " , "1RXSJ124832.1+51" , "12 48 34.3" , "+51 28 07.89" , "124.01" , "65.65" , 0.351 , 17.6 , 7300 , 115 , 0 , 0.32 , ". " , " " , " " , 0 , 0.49
1989 , "5BZBJ1249+3707 " , "1RXSJ124947.0+37" , "12 49 46.73" , "+37 07 47.71" , "124.83" , "79.99" , 0 , 18.8 , 7300 , 6 , 0 , 0.26 , ". " , " " , " " , 7e-10 , 0.354
1990 , "5BZBJ1250+3155 " , "1RXSJ125015.0+31" , "12 50 15.54" , "+31 55 59.41" , "125.91" , "85.18" , 0 , 18.9 , 7300 , 6 , 0 , 1.17 , ". " , " " , " " , 0 , 0.367
1991 , "5BZBJ1250+0216 " , "PKS1247+025 " , "12 50 32.57" , "+02 16 32.08" , "302.4" , "65.14" , 0.959 , 19.7 , 7300 , 341 , 0 , 0 , " ? " , " " , " " , 0 , 0.733
1992 , "5BZQJ1251-1717 " , "1RXSJ125116.2-17" , "12 51 14.47" , "-17 17 13.19" , "302.86" , "45.58" , 0.606 , 18.6 , 7211 , 163 , 0 , 0.38 , ". " , " " , " " , 0 , 0.656
1993 , "5BZBJ1251+1039 " , "1RXSJ125117.4+10" , "12 51 17.88" , "+10 39 05.29" , "302.81" , "73.52" , 0.245 , 18.2 , 7300 , 5 , 0 , 0.89 , ". " , " " , " " , 4e-10 , 0.368
1994 , "5BZBJ1251-2958 " , "1ES1248-296 " , "12 51 34.88" , "-29 58 42.88" , "302.96" , "32.89" , 0.382 , 17.7 , 7300 , 11 , 0 , 1.8 , ". " , " " , " " , 0 , 0.278
1995 , "5BZQJ1251-3518 " , "ON-381 " , "12 51 39.23" , "-35 18 39.59" , "302.98" , "27.55" , 0.41 , 20 , 7211 , 252 , 0 , 0 , ". " , " " , " " , 0 , 0.779
1996 , "5BZQJ1252+6451 " , "1RXSJ125223.7+64" , "12 52 23.79" , "+64 51 38.01" , "122.76" , "52.26" , 0.312 , 17.9 , 7211 , 43 , 0 , 1.01 , ". " , " " , " " , 0 , 0.426
1997 , "5BZBJ1252+0849 " , "SDSSJ125234.58+0" , "12 52 34.57" , "+08 49 44.0" , "303.82" , "71.69" , 0.37 , 19 , 7300 , 47 , 0 , 0 , " ? " , " " , " " , 0 , 0.619
1998 , "5BZBJ1252+2937 " , "BZBJ1252+2937 " , "12 52 34.66" , "+29 37 32.59" , "117.26" , "87.49" , 0.528 , 19 , 7300 , 10 , 0 , 0 , ". " , " " , " " , 0 , 0.4
1999 , "5BZQJ1252-3319 " , "PKS 1250-330 " , "12 52 58.39" , "-33 19 59.59" , "303.3" , "29.53" , 0.856 , 18 , 7211 , 283 , 0 , 0 , ". " , " " , " " , 0 , 0.652
2000 , "5BZBJ1253+3826 " , "FIRSTJ1253+3826 " , "12 53 00.9" , "+38 26 26.01" , "121.35" , "78.68" , 0.371 , 18.9 , 7300 , 5 , 0 , 3.66 , ". " , " " , " " , 0 , 0.42
2001 , "5BZBJ1253+5301 " , "GB6J1253+5301 " , "12 53 11.92" , "+53 01 11.71" , "122.32" , "64.1" , 0 , 17.5 , 7300 , 488 , 0 , 0.27 , ". " , " " , " " , 4e-10 , 0.595
2002 , "5BZGJ1253-3931 " , "SHBLJ12536-3931 " , "12 53 41.25" , "-39 31 59.59" , "303.4" , "23.33" , 0.179 , 16.1 , 7309 , 48 , 0 , 7.04 , ". " , " " , " " , 0 , 0.288
2003 , "5BZGJ1253+0326 " , "GB6B1251+0342 " , "12 53 46.98" , "+03 26 30.08" , "304.38" , "66.3" , 0.066 , 14.8 , 7309 , 107 , 0 , 1.67 , ". " , " " , " " , 0 , 0.23
2004 , "5BZBJ1253+6242 " , "1RXSJ125400.1+62" , "12 53 59.41" , "+62 42 57.2" , "122.42" , "54.41" , 0 , 18.8 , 7300 , 12 , 0 , 0.32 , ". " , " " , " " , 3e-10 , 0.414
2005 , "5BZQJ1253-4059 " , "PKS 1251-407 " , "12 53 59.52" , "-40 59 30.69" , "303.45" , "21.87" , 4.464 , 23.7 , 7211 , 183 , 0 , 0 , ". " , " " , " " , 0 , 1.007
2006 , "5BZBJ1254+2211 " , "1FGL_J1254.4+220" , "12 54 33.27" , "+22 11 03.69" , "311.24" , "85" , 0 , 17.3 , 7300 , 101 , 0 , 0 , ". " , " " , " " , 7e-10 , 0.41
2007 , "5BZQJ1254-2000 " , "CGRaBSJ1254-2000" , "12 54 37.25" , "-20 00 56.48" , "303.95" , "42.84" , 0.959 , 18.6 , 7211 , 136 , 0 , 0 , ". " , " " , " " , 0 , 0.613
2008 , "5BZQJ1254+1141 " , "PKS 1252+11 " , "12 54 38.35" , "+11 41 05.89" , "305.87" , "74.53" , 0.872 , 16.7 , 7211 , 793 , 245 , 0.65 , ". " , " " , " " , 0 , 0.622
2009 , "5BZGJ1254-4424 " , "PKS1252-441 " , "12 54 57.5" , "-44 24 56.59" , "303.59" , "18.44" , 0.041 , 9.8 , 7309 , 361 , 0 , 0 , ". " , " " , " " , 0 , -0.049
2010 , "5BZQJ1255+0340 " , "BZQJ1255+0340 " , "12 55 00.49" , "+03 40 43.1" , "305.16" , "66.53" , 0.437 , 17.9 , 7211 , 118 , 0 , 0.74 , ". " , " " , " " , 0 , 0.527
2011 , "5BZQJ1255+1817 " , "BZQJ1255+1817 " , "12 55 31.74" , "+18 17 50.89" , "309.23" , "81.11" , 1.366 , 19.7 , 7211 , 413 , 0 , 0.14 , ". " , " " , " " , 0 , 0.809
2012 , "5BZQJ1255+6124 " , "1RXSJ125544.4+61" , "12 55 45.0" , "+61 24 50.9" , "122.01" , "55.7" , 2.055 , 19.8 , 7211 , 99 , 0 , 0.18 , ". " , " " , " " , 0 , 0.69
2013 , "5BZBJ1255+3848 " , "BZBJ1255+3848 " , "12 55 55.39" , "+38 48 11.3" , "118.62" , "78.28" , 0.56 , 19 , 7300 , 24 , 0 , 0 , " ? " , " " , " " , 0 , 0.469
2014 , "5BZQJ1256-0547 " , "3C279 " , "12 56 11.16" , "-05 47 21.51" , "305.1" , "57.06" , 0.536 , 15 , 7211 , 9711 , 9712 , 20.9 , ". " , " " , " " , 2.56e-8 , 0.712
2015 , "5BZGJ1256-1146 " , "1RXSJ125615.9-11" , "12 56 15.95" , "-11 46 37.3" , "304.81" , "51.07" , 0.058 , 12.2 , 7309 , 54 , 0 , 0.74 , ". " , " " , " " , 1e-9 , 0.026
2016 , "5BZUJ1256-2155 " , "CGRaBSJ1256-2155" , "12 56 25.5" , "-21 55 21.28" , "304.46" , "40.93" , 0.129 , 15.9 , 7900 , 71 , 0 , 0 , ". " , " " , " " , 0 , 0.368
2017 , "5BZBJ1256+0609 " , "1RXSJ125639.3+06" , "12 56 39.35" , "+06 09 08.1" , "306.55" , "68.98" , 0.423 , 18.6 , 7300 , 65 , 0 , 0.73 , ". " , " " , " " , 0 , 0.524
2018 , "5BZUJ1257+0024 " , "4C 00.45 " , "12 57 03.11" , "+00 24 35.99" , "306.05" , "63.24" , 1.259 , 17.3 , 7900 , 298 , 0 , 0 , ". " , " " , " " , 0 , 0.486
2019 , "5BZBJ1257+3647 " , "B 142 " , "12 57 16.57" , "+36 47 14.89" , "116" , "80.26" , 0.531 , 17.7 , 7300 , 73 , 0 , 0.46 , " ? " , " " , " " , 8e-10 , 0.439
2020 , "5BZBJ1257+2412 " , "1ES1255+244 " , "12 57 31.92" , "+24 12 40.1" , "328.46" , "86.77" , 0.141 , 16.7 , 7300 , 15 , 0 , 7.22 , ". " , " " , " " , 0 , 0.346
2021 , "5BZQJ1257+3229 " , "B2 1255+32 " , "12 57 57.23" , "+32 29 29.29" , "108.56" , "84.45" , 0.805 , 18.8 , 7211 , 652 , 0 , 0.31 , ". " , " " , " " , 4e-10 , 0.762
2022 , "5BZQJ1257-3155 " , "PKS1255-316 " , "12 57 59.05" , "-31 55 16.89" , "304.55" , "30.92" , 1.924 , 18.2 , 7211 , 1144 , 477 , 0.24 , ". " , " " , " " , 0 , 0.761
2023 , "5BZBJ1258+6120 " , "SDSSJ125820.79+6" , "12 58 20.79" , "+61 20 45.49" , "121.45" , "55.76" , 0.224 , 18.4 , 7300 , 10 , 0 , 0 , ". " , " " , " " , 0 , 0.443
2024 , "5BZQJ1258-1800 " , "PKS 1256-177 " , "12 58 38.29" , "-18 00 03.09" , "305.34" , "44.83" , 1.956 , 20.6 , 7211 , 359 , 0 , 0 , ". " , " " , " " , 8e-10 , 0.864
2025 , "5BZBJ1258-0447 " , "RXSJ12587-0447 " , "12 58 48.04" , "-04 47 45.09" , "306.39" , "58.02" , 0.586 , 18.6 , 7390 , 4 , 0 , 4.5 , ". " , " " , " " , 0 , 0.251
2026 , "5BZQJ1258-2219 " , "PKS1256-220 " , "12 58 54.47" , "-22 19 31.11" , "305.2" , "40.51" , 1.303 , 18.8 , 7211 , 793 , 420 , 0 , ". " , " " , " " , 2e-9 , 0.772
2027 , "5BZBJ1258+0134 " , "MS1256.3+0151 " , "12 58 54.59" , "+01 34 41.41" , "307.25" , "64.38" , 0 , 19.9 , 7300 , 16 , 0 , 0.22 , ". " , " " , " " , 0 , 0.609
2028 , "5BZUJ1259-2310 " , "PKS 1256-229 " , "12 59 08.45" , "-23 10 38.71" , "305.23" , "39.65" , 0.481 , 18.1 , 7900 , 482 , 0 , 0 , ". " , " " , " " , 0 , 0.623
2029 , "5BZQJ1259-2436 " , "PKS 1256-243 " , "12 59 12.63" , "-24 36 05.5" , "305.18" , "38.23" , 2.263 , 17.9 , 7211 , 638 , 0 , 0 , ". " , " " , " " , 0 , 0.672
2030 , "5BZBJ1300+1755 " , "SDSSJ130008.52+1" , "13 00 08.52" , "+17 55 37.59" , "315.68" , "80.58" , 0 , 19.8 , 7300 , 16 , 0 , 0 , ". " , " " , " " , 0 , 0.601
2031 , "5BZBJ1300+6344 " , "MS1258.4+6401 " , "13 00 17.57" , "+63 44 40.2" , "121.29" , "53.35" , 0 , 20.7 , 7300 , 15 , 0 , 0.4 , ". " , " " , " " , 0 , 0.666
2032 , "5BZQJ1300+1417 " , "PKSB1257+145 " , "13 00 20.9" , "+14 17 18.49" , "312.56" , "76.99" , 1.106 , 18.7 , 7211 , 560 , 0 , 0.34 , ". " , " " , " " , 0 , 0.735
2033 , "5BZQJ1300+2830 " , "5C 4.105 " , "13 00 28.53" , "+28 30 10.18" , "67.94" , "87.57" , 0.649 , 17 , 7211 , 171 , 0 , 0.09 , ". " , " " , " " , 0 , 0.522
2034 , "5BZBJ1300+5351 " , "SDSSJ130032.78+5" , "13 00 32.77" , "+53 51 12.59" , "119.95" , "63.22" , 0 , 18.8 , 7300 , 32 , 0 , 0 , ". " , " " , " " , 0 , 0.507
2035 , "5BZQJ1300+5029 " , "TEX 1258+506 " , "13 00 41.25" , "+50 29 36.81" , "119.23" , "66.56" , 1.561 , 21.6 , 7211 , 410 , 0 , 0.29 , ". " , " " , " " , 0 , 0.964
2036 , "5BZQJ1300-3253 " , "1WGAJ1300.7-3253" , "13 00 42.45" , "-32 53 12.08" , "305.17" , "29.94" , 1.256 , 18 , 7211 , 244 , 0 , 0.22 , ". " , " " , " " , 2.3e-9 , 0.611
2037 , "5BZUJ1301-3226 " , "ON-397 " , "13 01 00.79" , "-32 26 28.6" , "305.27" , "30.38" , 0.017 , 8.3 , 7900 , 1387 , 0 , 0.31 , ". " , " " , " " , 0 , -0.096
2038 , "5BZQJ1301+3337 " , "WE 1259+33W1 " , "13 01 29.15" , "+33 37 00.3" , "105.08" , "83.16" , 1.009 , 19.7 , 7211 , 76 , 0 , 0 , ". " , " " , " " , 6e-10 , 0.65
2039 , "5BZGJ1301+4634 " , "BZQJ1301+4634 " , "13 01 32.62" , "+46 34 02.78" , "117.73" , "70.46" , 0.205 , 16.3 , 7309 , 87 , 0 , 0 , ". " , " " , " " , 0 , 0.401
2040 , "5BZBJ1301+4056 " , "1RXSJ130145.3+40" , "13 01 45.64" , "+40 56 24.61" , "114.83" , "76.02" , 0 , 18.1 , 7300 , 28 , 0 , 1.09 , ". " , " " , " " , 0 , 0.446
2041 , "5BZBJ1301+4416 " , "BZBJ1301+4416 " , "13 01 46.31" , "+44 16 19.41" , "116.68" , "72.73" , 0 , 18.6 , 7300 , 58 , 0 , 0 , ". " , " " , " " , 0 , 0.528
2042 , "5BZQJ1302+4819 " , "1RXSJ130217.5+48" , "13 02 17.2" , "+48 19 17.61" , "117.96" , "68.7" , 0.874 , 17.9 , 7211 , 129 , 0 , 0.35 , ". " , " " , " " , 0 , 0.588
2043 , "5BZUJ1302+5748 " , "S4 1300+58 " , "13 02 52.47" , "+57 48 37.58" , "119.95" , "59.25" , 1.088 , 19.5 , 7900 , 320 , 0 , 0.22 , ". " , " " , " " , 0 , 0.718
2044 , "5BZBJ1302+5056 " , "RXSJ13029+5056 " , "13 02 55.33" , "+50 56 18.31" , "118.46" , "66.09" , 0 , 19.5 , 7300 , 3 , 0 , 4.04 , ". " , " " , " " , 0 , 0.41
2045 , "5BZBJ1303+2433 " , "IRASF13006+2450 " , "13 03 03.23" , "+24 33 55.8" , "349.11" , "86.33" , 0 , 19.4 , 7300 , 123 , 0 , 0 , ". " , " " , " " , 3e-9 , 0.704
2046 , "5BZUJ1303-1051 " , "PKS1300-105 " , "13 03 13.86" , "-10 51 17.09" , "307.62" , "51.9" , 0 , 21.4 , 7900 , 255 , 0 , 0 , ". " , " " , " " , 0 , 0.899
2047 , "5BZQJ1303-4621 " , "CRATESJ130340-46" , "13 03 40.27" , "-46 21 02.3" , "305.13" , "16.46" , 1.664 , 0 , 7211 , 76 , 0 , 0 , ". " , " " , " " , 7e-10 , -9.9
2048 , "5BZBJ1304-4353 " , "1RXSJ130421.2-43" , "13 04 20.99" , "-43 53 10.21" , "305.39" , "18.92" , 0 , 16.1 , 7300 , 44 , 0 , 2.24 , ". " , " " , " " , 3.7e-9 , 0.25
2049 , "5BZQJ1304-0346 " , "PKS 1302-035 " , "13 04 43.66" , "-03 46 02.38" , "309.36" , "58.93" , 1.25 , 19.4 , 7211 , 826 , 0 , 0 , ". " , " " , " " , 0 , 0.833
2050 , "5BZBJ1305+7854 " , "S51304+791 " , "13 05 00.05" , "+78 54 35.6" , "122.1" , "38.19" , 0 , 19.6 , 7390 , 287 , 0 , 0 , ". " , " " , " " , 3e-10 , 0.723
2051 , "5BZBJ1305+3855 " , "GB6J1305+3855 " , "13 05 31.25" , "+38 55 21.9" , "109.81" , "77.84" , 0.376 , 18.7 , 7300 , 44 , 0 , 0.63 , ". " , " " , " " , 0 , 0.518
2052 , "5BZQJ1305-1033 " , "1Jy1302-102 " , "13 05 33.01" , "-10 33 19.4" , "308.59" , "52.15" , 0.286 , 14.4 , 7211 , 711 , 417 , 4.02 , ". " , " " , " " , 0 , 0.43
2053 , "5BZQJ1306+5529 " , "GB6B1303+5545 " , "13 06 03.35" , "+55 29 43.9" , "118.59" , "61.51" , 1.601 , 18.3 , 7211 , 133 , 0 , 0.18 , ". " , " " , " " , 0 , 0.611
2054 , "5BZQJ1306+4741 " , "GB6B1304+4757 " , "13 06 29.94" , "+47 41 32.49" , "115.77" , "69.22" , 2.523 , 18.3 , 7211 , 54 , 0 , 0.19 , ". " , " " , " " , 0 , 0.516
2055 , "5BZQJ1307-3207 " , "PKS 1304-318 " , "13 07 15.17" , "-32 07 58.51" , "306.82" , "30.61" , 1.211 , 19.4 , 7211 , 453 , 0 , 0 , ". " , " " , " " , 0 , 0.766
2056 , "5BZBJ1307-4259 " , "1FGL_J1307.6-425" , "13 07 37.97" , "-42 59 38.9" , "306.07" , "19.77" , 0 , 15.6 , 7300 , 36 , 0 , 2.39 , ". " , " " , " " , 2e-9 , 0.248
2057 , "5BZQJ1308+3546 " , "1RXSJ130823.1+35" , "13 08 23.7" , "+35 46 37.2" , "101.31" , "80.63" , 1.055 , 20 , 7211 , 239 , 447 , 0.23 , ". " , " " , " " , 1.1e-9 , 0.81
2058 , "5BZQJ1308+4729 " , "GB6J1308+4730 " , "13 08 51.33" , "+47 29 54.88" , "114.56" , "69.34" , 0.884 , 18.9 , 7211 , 77 , 0 , 0.33 , ". " , " " , " " , 0 , 0.58
2059 , "5BZQJ1309+5557 " , "S4 1307+56 " , "13 09 09.75" , "+55 57 38.3" , "117.81" , "60.99" , 1.629 , 17.7 , 7211 , 266 , 0 , 0.53 , ". " , " " , " " , 0 , 0.62
2060 , "5BZBJ1309+4305 " , "1FGL_J1309.5+430" , "13 09 25.53" , "+43 05 05.6" , "111.2" , "73.63" , 0 , 17 , 7300 , 60 , 0 , 0.4 , ". " , " " , " " , 1.8e-9 , 0.374
2061 , "5BZBJ1309+1154 " , "MC21307+12 " , "13 09 33.93" , "+11 54 24.58" , "319.42" , "74.19" , 0 , 18.4 , 7300 , 855 , 369 , 0.48 , ". " , " " , " " , 5e-10 , 0.793
2062 , "5BZQJ1309-3948 " , "CGRaBSJ1309-3948" , "13 09 48.47" , "-39 48 33.08" , "306.76" , "22.92" , 1.828 , 19.3 , 7211 , 294 , 0 , 0 , ". " , " " , " " , 0 , 0.732
2063 , "5BZBJ1310-1157 " , "RXSJ13102-1157 " , "13 10 12.48" , "-11 57 46.4" , "310.18" , "50.64" , 0.14 , 14.7 , 7390 , 83 , 0 , 1.21 , ". " , " " , " " , 0 , 0.239
2064 , "5BZQJ1310+0044 " , "PKS1307+010 " , "13 10 28.5" , "+00 44 08.91" , "313.53" , "63.21" , 1.601 , 19.3 , 7211 , 170 , 0 , 0 , ". " , " " , " " , 4e-10 , 0.703
2065 , "5BZUJ1310+3220 " , "1Jy1308+326 " , "13 10 28.66" , "+32 20 43.8" , "85.69" , "83.34" , 0.997 , 17.6 , 7900 , 1687 , 1303 , 0.53 , ". " , " " , " " , 5.3e-9 , 0.683
2066 , "5BZQJ1310+4653 " , "CRATESJ131053+46" , "13 10 53.58" , "+46 53 52.18" , "113.24" , "69.86" , 0.972 , 20.8 , 7211 , 131 , 0 , 0.24 , ". " , " " , " " , 0 , 0.84
2067 , "5BZQJ1310+3233 " , "MG 1310+3233 " , "13 10 59.4" , "+32 33 34.41" , "86.13" , "83.11" , 1.639 , 18.8 , 7211 , 374 , 346 , 0.14 , ". " , " " , " " , 5.3e-9 , 0.744
2068 , "5BZQJ1311+5513 " , "GB6J1311+5514 " , "13 11 03.21" , "+55 13 54.29" , "117.03" , "61.67" , 0.925 , 19.2 , 7211 , 425 , 0 , 0.18 , ". " , " " , " " , 0 , 0.777
2069 , "5BZBJ1311+0035 " , "1RXSJ131106.4+00" , "13 11 06.47" , "+00 35 09.99" , "313.82" , "63.03" , 0 , 17.8 , 7300 , 17 , 0 , 0.94 , ". " , " " , " " , 4e-10 , 0.34
2070 , "5BZQJ1311+1417 " , "PKS 1308+145 " , "13 11 07.81" , "+14 17 46.6" , "323.59" , "76.36" , 1.947 , 19.7 , 7211 , 735 , 0 , 0 , ". " , " " , " " , 0 , 0.847
2071 , "5BZBJ1311+3953 " , "SDSSJ131146.02+3" , "13 11 46.02" , "+39 53 17.48" , "105.92" , "76.56" , 0 , 19.8 , 7300 , 16 , 0 , 0.11 , ". " , " " , " " , 0 , 0.601
2072 , "5BZBJ1311+0853 " , "SHBLJ131156.0+08" , "13 11 55.75" , "+08 53 40.99" , "318.76" , "71.13" , 0.469 , 19.3 , 7300 , 5 , 0 , 2.69 , ". " , " " , " " , 0 , 0.42
2073 , "5BZQJ1312+4809 " , "RX J13121+4809 " , "13 12 11.14" , "+48 09 25.3" , "113.42" , "68.58" , 0.715 , 17.2 , 7211 , 160 , 0 , 0.58 , ". " , " " , " " , 4e-10 , 0.495
2074 , "5BZQJ1312+3515 " , "PG 1309+355 " , "13 12 17.75" , "+35 15 21.09" , "95.48" , "80.73" , 0.184 , 15.5 , 7211 , 47 , 0 , 1.1 , ". " , " " , " " , 0 , 0.261
2075 , "5BZBJ1312-2156 " , "PKS 1309-216 " , "13 12 31.55" , "-21 56 23.38" , "309.38" , "40.66" , 1.491 , 18.1 , 7300 , 349 , 0 , 0 , " ? " , " " , " " , 2.2e-9 , 0.545
2076 , "5BZUJ1312+4828 " , "GB6B1310+4844 " , "13 12 43.34" , "+48 28 30.9" , "113.37" , "68.25" , 0.501 , 21 , 7900 , 221 , 0 , 0.28 , ". " , " " , " " , 9e-9 , 0.801
2077 , "5BZQJ1312-0424 " , "BZQJ1312-0424 " , "13 12 50.89" , "-04 24 49.89" , "313.05" , "58.03" , 0.825 , 19.3 , 7211 , 226 , 0 , 0.32 , ". " , " " , " " , 4e-10 , 0.746
2078 , "5BZBJ1313+0201 " , "1RXSJ131330.9+02" , "13 13 30.11" , "+02 01 05.91" , "315.74" , "64.33" , 0.356 , 18.4 , 7300 , 60 , 0 , 0.39 , ". " , " " , " " , 0 , 0.538
2079 , "5BZQJ1313+1027 " , "GB6B1311+1043 " , "13 13 41.64" , "+10 27 14.4" , "321.43" , "72.51" , 2.912 , 18.8 , 7211 , 81 , 0 , 0 , ". " , " " , " " , 0 , 0.581
2080 , "5BZQJ1314-3303 " , "TEX1311-328 " , "13 14 03.56" , "-33 03 54.89" , "308.38" , "29.56" , 0.484 , 18.1 , 7211 , 95 , 0 , 0.34 , ". " , " " , " " , 0 , 0.558
2081 , "5BZBJ1314+2348 " , "GB6B1312+2404 " , "13 14 43.8" , "+23 48 26.78" , "1.91" , "83.78" , 0 , 16.8 , 7300 , 184 , 0 , 1.1 , ". " , " " , " " , 1.4e-9 , 0.449
2082 , "5BZGJ1315-4236 " , "MS1312.1-4221 " , "13 15 03.39" , "-42 36 49.71" , "307.55" , "20.04" , 0.105 , 14.1 , 7309 , 14 , 0 , 8.85 , ". " , " " , " " , 0 , -0.01
2083 , "5BZUJ1315-5334 " , "2FGLJ1314.5-5330" , "13 15 04.17" , "-53 34 35.79" , "306.48" , "9.13" , 0 , 18.3 , 7900 , 0 , 307 , 0 , ". " , " " , " " , 1.6e-9 , 0.547
2084 , "5BZQJ1315+2840 " , "GB6B1312+2856 " , "13 15 13.49" , "+28 40 53.68" , "50.75" , "84.52" , 1.576 , 19.9 , 7211 , 110 , 0 , 0.14 , ". " , " " , " " , 0 , 0.705
2085 , "5BZQJ1316-3338 " , "PKS1313-333 " , "13 16 07.98" , "-33 38 59.2" , "308.8" , "28.93" , 1.21 , 17.7 , 7211 , 1278 , 838 , 0.97 , ". " , " " , " " , 2.6e-9 , 0.73
2086 , "5BZQJ1316-3025 " , "CGRaBSJ1316-3025" , "13 16 32.98" , "-30 25 32.08" , "309.32" , "32.13" , 1.334 , 19.5 , 7211 , 107 , 0 , 0 , ". " , " " , " " , 0 , 0.674
2087 , "5BZQJ1317+3425 " , "B2 1315+34A " , "13 17 36.48" , "+34 25 15.88" , "86.93" , "80.79" , 1.055 , 18.2 , 7211 , 529 , 316 , 0.34 , ". " , " " , " " , 3e-10 , 0.694
2088 , "5BZQJ1318-0607 " , "BZQJ1318-0607 " , "13 18 33.71" , "-06 07 23.8" , "315.08" , "56.1" , 2.734 , 18.8 , 7211 , 68 , 0 , 0 , ". " , " " , " " , 0 , 0.565
2089 , "5BZQJ1319-1217 " , "2E1316.5-1201 " , "13 19 12.09" , "-12 17 31.99" , "313.51" , "50" , 0.86 , 17.9 , 7211 , 466 , 0 , 0.26 , ". " , " " , " " , 5e-10 , 0.665
