id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
50 , "5BZQJ0016-0015 " , "PKS 0013-00 " , "00 16 11.09" , "-00 15 12.38" , "104" , "-61.83" , 1.577 , 19.9 , 7211 , 1086 , 0 , 0.23 , ". " , " " , " " , 4e-10 , 0.892
51 , "5BZQJ0017+8135 " , "S50014+813 " , "00 17 08.45" , "+81 35 08.19" , "121.61" , "18.8" , 3.387 , 15.9 , 7211 , 693 , 0 , 0.77 , ". " , " " , " " , 0 , 0.478
52 , "5BZQJ0017-0512 " , "CGRaBSJ0017-0512" , "00 17 35.81" , "-05 12 41.61" , "101.24" , "-66.65" , 0.227 , 17.6 , 7211 , 174 , 0 , 0.8 , ". " , " " , " " , 1.4e-9 , 0.588
53 , "5BZBJ0017+1451 " , "SDSSJ001736.90+1" , "00 17 36.89" , "+14 51 01.9" , "110.85" , "-47.23" , 0.303 , 17.8 , 7300 , 59 , 0 , 0 , ". " , " " , " " , 0 , 0.48
54 , "5BZQJ0017-2748 " , "TEX0015-280 " , "00 17 58.99" , "-27 48 21.09" , "25.8" , "-82.55" , 1.169 , 19.3 , 7211 , 344 , 0 , 0 , ". " , " " , " " , 0 , 0.751
55 , "5BZBJ0018+2947 " , "RXJ00184+2947 " , "00 18 27.78" , "+29 47 30.8" , "114.44" , "-32.54" , 0.1 , 18.4 , 7300 , 33 , 0 , 5.89 , " ? " , " " , " " , 2e-10 , 0.51
56 , "5BZBJ0019-8152 " , "1RXSJ001928.1-81" , "00 19 20.58" , "-81 52 51.31" , "304.31" , "-35.17" , 0 , 16.1 , 7300 , 83 , 0 , 0.51 , ". " , " " , " " , 9e-10 , 0.298
57 , "5BZBJ0019+2021 " , "PKS0017+200 " , "00 19 37.84" , "+20 21 45.79" , "112.89" , "-41.89" , 0 , 20.3 , 7300 , 983 , 0 , 0.17 , ". " , " " , " " , 7e-10 , 0.962
58 , "5BZQJ0019+2602 " , "4C25.01 " , "00 19 39.78" , "+26 02 52.4" , "114.07" , "-36.28" , 0.284 , 15.8 , 7211 , 683 , 0 , 1.92 , ". " , " " , " " , 0 , 0.498
59 , "5BZQJ0019-3031 " , "PKS0017-307 " , "00 19 42.67" , "-30 31 19.19" , "5.03" , "-82.28" , 2.677 , 19.3 , 7211 , 507 , 0 , 0 , ". " , " " , " " , 0 , 0.784
60 , "5BZQJ0019+7327 " , "1Jy0016+731 " , "00 19 45.77" , "+73 27 30.31" , "120.64" , "10.72" , 1.781 , 18.2 , 7211 , 1136 , 486 , 0.11 , ". " , " " , " " , 0 , 0.698
61 , "5BZBJ0021-2550 " , "BZBJ0021-2550 " , "00 21 32.53" , "-25 50 49.2" , "42.1" , "-83.19" , 0 , 17.5 , 7300 , 69 , 0 , 0.18 , ". " , " " , " " , 9e-10 , 0.508
62 , "5BZBJ0021-0900 " , "SDSSJ00217-0900 " , "00 21 42.24" , "-09 00 44.31" , "100.34" , "-70.57" , 0.648 , 19.3 , 7300 , 45 , 0 , 0 , ". " , " " , " " , 0 , 0.538
63 , "5BZBJ0022-5140 " , "2FGLJ0022.3-5141" , "00 22 00.07" , "-51 40 24.2" , "313.69" , "-64.84" , 0 , 15.9 , 7300 , 20 , 0 , 3.22 , ". " , " " , " " , 4e-10 , 0.193
64 , "5BZGJ0022+0006 " , "1RXSJ002200.9+00" , "00 22 00.95" , "+00 06 57.99" , "107.18" , "-61.86" , 0.306 , 18.6 , 7309 , 2 , 0 , 1.01 , ". " , " " , " " , 0 , 0.198
65 , "5BZQJ0022+4525 " , "B30019+451 " , "00 22 06.61" , "+45 25 34.1" , "117.55" , "-17.14" , 1.897 , 20.7 , 7211 , 345 , 0 , 0.59 , ". " , " " , " " , 0 , 0.843
66 , "5BZBJ0022-1853 " , "1FGL_J0022.2-185" , "00 22 09.27" , "-18 53 34.8" , "82.14" , "-79.37" , 0 , 18.6 , 7300 , 23 , 0 , 0.69 , ". " , " " , " " , 9e-10 , 0.446
67 , "5BZBJ0022+0608 " , "PKS 0019+058 " , "00 22 32.44" , "+06 08 04.41" , "110" , "-56.01" , 0 , 18.5 , 7300 , 340 , 0 , 0.25 , ". " , " " , " " , 2.2e-9 , 0.652
68 , "5BZUJ0023+4456 " , "S4 0020+44 " , "00 23 35.44" , "+44 56 35.8" , "117.76" , "-17.65" , 2.023 , 21.7 , 7900 , 140 , 0 , 0 , " ? " , " " , " " , 7e-10 , 0.761
69 , "5BZBJ0024+1602 " , "SDSSJ002401.28+1" , "00 24 01.26" , "+16 02 34.0" , "113.37" , "-46.32" , 0 , 18.9 , 7300 , 57 , 0 , 0 , ". " , " " , " " , 0 , 0.533
70 , "5BZQJ0024+2439 " , "GB6B0021+2422 " , "00 24 27.32" , "+24 39 26.6" , "115.16" , "-37.81" , 1.444 , 21.7 , 7211 , 150 , 0 , 0 , ". " , " " , " " , 0 , 0.887
71 , "5BZQJ0024+0349 " , "GB6J0024+0349 " , "00 24 45.2" , "+03 49 03.68" , "110.15" , "-58.39" , 0.545 , 19.6 , 7211 , 22 , 0 , 0 , ". " , " " , " " , 5e-10 , 0.611
